id,model,year,transmission,mileage,fueltype,mpg,enginesize
112, Q2,2017,Automatic,23714,Diesel,68.9,1.6
113, A6,2016,Automatic,71311,Diesel,61.4,2
114, A6,2018,Automatic,29477,Diesel,61.4,2
115, Q5,2016,Automatic,60551,Diesel,47.1,2
116, A6,2017,Automatic,42071,Diesel,61.4,2
117, A7,2014,Automatic,55774,Diesel,44.8,3
118, A1,2016,Manual,36462,Diesel,76.3,1.6
119, A3,2016,Manual,25376,Petrol,57.6,1.4
120, A4,2017,Automatic,39388,Diesel,67.3,2
121, A3,2017,Manual,64207,Diesel,67.3,2
122, A1,2017,Manual,49221,Petrol,55.4,1.4
123, A1,2017,Manual,27179,Diesel,76.3,1.6
124, A4,2014,Manual,31376,Diesel,58.9,2
125, A5,2015,Automatic,62668,Diesel,53.3,2
126, A4,2017,Manual,10001,Petrol,51.4,1.4
127, A6,2016,Automatic,52544,Diesel,61.4,2
128, A4,2016,Manual,63097,Petrol,49.6,2
129, A6,2016,Manual,72967,Diesel,61.4,2
130, A5,2017,Automatic,32771,Diesel,70.6,2
131, Q3,2018,Automatic,13303,Petrol,40.4,2
132, A3,2019,Manual,2752,Petrol,44.8,1.5
133, Q3,2016,Manual,23307,Diesel,49.6,2
134, A1,2017,Manual,34551,Petrol,67.3,1
135, A3,2017,Manual,25457,Diesel,68.9,1.6
136, Q2,2018,Manual,12167,Petrol,50.4,1.4
137, A6,2015,Automatic,23237,Diesel,67.3,2
138, Q3,2016,Automatic,11863,Diesel,50.4,2
139, A4,2017,Manual,21225,Diesel,72.4,2
140, A6,2015,Automatic,32083,Diesel,61.4,2
141, Q5,2017,Automatic,17039,Diesel,55.4,2
142, A4,2016,Manual,72026,Diesel,74.3,2
143, A1,2017,Manual,34824,Petrol,67.3,1
144, A1,2017,Manual,20351,Petrol,55.4,1.4
145, A4,2017,Automatic,58028,Petrol,52.3,2
146, A5,2017,Automatic,44783,Diesel,62.8,2
147, A4,2014,Manual,60604,Diesel,67.3,2
148, A4,2013,Manual,39998,Diesel,65.7,2
149, A4,2017,Automatic,20852,Diesel,65.7,2
150, A6,2016,Manual,79728,Diesel,64.2,2
151, A6,2017,Automatic,29095,Diesel,64.2,2
152, A3,2013,Manual,98940,Diesel,74.3,1.6
153, A1,2016,Manual,22780,Petrol,58.9,1.4
154, A5,2018,Manual,20832,Petrol,47.1,2
155, Q3,2016,Automatic,29196,Diesel,55.4,2
156, A4,2017,Manual,14392,Petrol,53.3,1.4
157, A4,2018,Manual,20070,Petrol,52.3,1.4
158, A6,2016,Automatic,89334,Diesel,62.8,3
159, A1,2016,Manual,21428,Petrol,67.3,1
160, A4,2016,Manual,45485,Diesel,70.6,2
161, Q3,2016,Manual,32704,Diesel,60.1,2
162, Q3,2018,Automatic,42209,Petrol,42.2,2
163, A4,2017,Manual,17278,Petrol,48.7,1.4
164, A1,2017,Manual,29515,Petrol,67.3,1
165, A3,2014,Manual,43662,Diesel,67.3,2
166, A4,2017,Automatic,45225,Diesel,62.8,2
167, A6,2017,Manual,45491,Diesel,61.4,2
168, Q5,2014,Manual,52267,Petrol,37.7,2
169, A3,2014,Semi-Auto,40807,Petrol,50.4,1.8
170, Q3,2014,Manual,65959,Diesel,49.6,2
171, Q5,2014,Semi-Auto,47648,Petrol,35.8,2
172, Q5,2017,Semi-Auto,27948,Petrol,40.9,2
173, A4,2013,Manual,31169,Petrol,49.6,1.8
174, A4,2013,Automatic,42011,Petrol,47.1,2
175, A6,2015,Semi-Auto,56115,Diesel,50.4,3
176, A6,2015,Semi-Auto,65835,Diesel,61.4,2
177, A6,2017,Semi-Auto,63383,Diesel,45.6,3
178, Q5,2017,Semi-Auto,34011,Petrol,34,3
179, A5,2014,Semi-Auto,52132,Diesel,49.6,3
180, A4,2015,Manual,38787,Diesel,55.4,2
181, A1,2017,Manual,34554,Petrol,55.4,1.4
182, Q5,2017,Semi-Auto,17502,Petrol,40.4,2
183, TT,2019,Automatic,3000,Petrol,40.9,2
184, A6,2015,Manual,34646,Diesel,61.4,2
185, Q5,2017,Semi-Auto,18000,Diesel,56.5,2
186, Q3,2018,Semi-Auto,17085,Petrol,47.9,1.4
187, A1,2017,Manual,48166,Diesel,72.4,1.6
188, Q5,2015,Semi-Auto,38421,Diesel,47.1,2
189, A5,2015,Manual,46637,Diesel,61.4,2
190, A3,2016,Manual,24468,Diesel,74.3,1.6
191, Q5,2017,Automatic,29343,Diesel,47.1,2
192, A3,2019,Manual,8449,Diesel,51.4,1.6
193, A5,2017,Manual,34679,Diesel,65.7,2
194, A3,2018,Semi-Auto,23860,Petrol,60.1,1
195, A4,2018,Automatic,21009,Petrol,35.8,3
196, A6,2019,Automatic,1881,Diesel,47.9,2
197, A6,2019,Semi-Auto,688,Diesel,47.9,2
198, A6,2019,Automatic,1863,Diesel,47.9,2
199, Q7,2020,Semi-Auto,10,Diesel,33.2,3
200, RS6,2016,Semi-Auto,49050,Petrol,29.4,4
201, A4,2019,Semi-Auto,1024,Petrol,38.7,2
202, A4,2019,Semi-Auto,448,Petrol,39.8,2
203, A4,2019,Semi-Auto,476,Petrol,39.2,2
204, A7,2019,Automatic,5201,Diesel,38.7,3
205, A3,2019,Semi-Auto,2028,Petrol,42.2,1.5
206, A6,2019,Automatic,3241,Diesel,39.2,3
207, Q5,2019,Automatic,355,Diesel,39.2,2
208, A5,2019,Automatic,18,Petrol,39.8,2
209, A3,2019,Automatic,3122,Petrol,41.5,1.5
210, Q2,2019,Manual,824,Petrol,40.9,1.5
211, A6,2019,Semi-Auto,2811,Diesel,47.9,2
212, A6,2019,Semi-Auto,27,Diesel,50.4,2
213, A4,2019,Semi-Auto,4254,Petrol,38.2,2
214, A1,2019,Semi-Auto,2252,Petrol,48.7,1
215, Q2,2019,Automatic,3422,Diesel,47.9,1.6
216, Q2,2019,Automatic,37,Diesel,47.9,1.6
217, A4,2019,Semi-Auto,7299,Petrol,38.2,2
218, Q2,2019,Semi-Auto,1414,Petrol,40.9,1.5
219, Q5,2019,Automatic,5135,Diesel,38.2,2
220, Q5,2019,Automatic,6024,Diesel,38.2,2
221, Q5,2020,Semi-Auto,10,Petrol,32.1,2
222, Q7,2019,Automatic,10,Diesel,33.2,3
223, Q7,2019,Automatic,10,Diesel,33.2,3
224, Q5,2020,Semi-Auto,10,Petrol,30.7,2
225, A4,2020,Semi-Auto,10,Petrol,42.2,2
226, Q7,2015,Automatic,47606,Diesel,47.9,3
227, A1,2015,Semi-Auto,26625,Petrol,57.6,1.4
228, A5,2018,Automatic,5071,Petrol,50.4,2
229, A5,2015,Semi-Auto,28011,Petrol,34.9,3
230, Q3,2019,Automatic,10,Diesel,47.1,2
231, A5,2019,Automatic,10,Diesel,51.4,2
232, Q3,2019,Automatic,10,Diesel,47.1,2
233, A1,2019,Manual,10,Petrol,49.6,1
234, A4,2019,Automatic,10,Diesel,53.3,2
235, A7,2019,Semi-Auto,10,Diesel,38.2,3
236, A6,2019,Automatic,2000,Diesel,47.9,2
237, Q2,2019,Automatic,10,Petrol,43.5,1.5
238, A6,2019,Automatic,3510,Diesel,36.2,3
239, A3,2019,Automatic,10,Petrol,44.8,1.5
240, A5,2019,Automatic,10,Petrol,39.8,2
241, A5,2019,Automatic,1010,Petrol,39.8,2
242, A6,2019,Semi-Auto,500,Diesel,47.9,2
243, A4,2019,Automatic,10,Petrol,42.8,2
244, A3,2019,Manual,10,Diesel,54.3,1.6
245, A5,2019,Automatic,10,Petrol,39.8,2
246, A5,2019,Automatic,10,Diesel,51.4,2
247, A3,2019,Manual,10,Diesel,51.4,1.6
248, Q7,2019,Automatic,1510,Diesel,33.2,3
249, RS3,2019,Semi-Auto,10,Petrol,30.1,2.5
250, A4,2016,Semi-Auto,29845,Petrol,45.6,2
251, A3,2014,Semi-Auto,27355,Petrol,42.8,1.8
252, A4,2016,Manual,20885,Diesel,64.2,2
253, A3,2014,Automatic,10534,Petrol,56.5,1.2
254, A3,2016,Manual,25895,Diesel,70.6,2
255, A1,2016,Manual,32867,Petrol,67.3,1
256, Q5,2015,Semi-Auto,42793,Diesel,47.1,2
257, A6,2015,Semi-Auto,49039,Diesel,50.4,3
258, Q2,2017,Manual,22501,Diesel,64.2,1.6
259, A8,2017,Automatic,1420,Diesel,50.4,3
260, A5,2019,Automatic,10,Petrol,40.4,2
261, A5,2017,Semi-Auto,26939,Diesel,62.8,2
262, A8,2014,Semi-Auto,24786,Diesel,47.9,3
263, A4,2017,Manual,18761,Petrol,51.4,1.4
264, A5,2019,Automatic,10,Petrol,40.4,2
265, Q3,2019,Manual,10,Diesel,42.8,2
266, A4,2019,Automatic,10,Petrol,38.7,2
267, A3,2017,Semi-Auto,22295,Petrol,56.5,1.4
268, Q2,2017,Manual,18068,Petrol,52.3,1.4
269, A3,2018,Manual,25000,Petrol,42.2,1.5
270, Q2,2017,Manual,23043,Petrol,55.4,1
271, A5,2014,Semi-Auto,80902,Diesel,60.1,2
272, A4,2019,Automatic,10,Diesel,50.4,2
273, A1,2019,Manual,10,Petrol,48.7,1
274, Q3,2019,Automatic,10,Diesel,47.1,2
275, Q3,2016,Manual,26474,Diesel,52.3,2
276, Q5,2013,Semi-Auto,65458,Diesel,44.1,3
277, TT,2018,Manual,34170,Petrol,47.1,1.8
278, Q5,2019,Semi-Auto,100,Petrol,33.2,2
279, Q3,2019,Automatic,650,Diesel,47.1,2
280, Q5,2019,Automatic,10,Diesel,38.2,2
281, Q5,2019,Semi-Auto,10,Petrol,33.2,2
282, A4,2019,Manual,2928,Petrol,41.5,2
283, Q3,2018,Manual,7157,Petrol,51.4,1.4
284, Q3,2016,Semi-Auto,31600,Diesel,50.4,2
285, Q7,2016,Semi-Auto,46600,Diesel,39.2,4
286, A3,2019,Manual,10,Diesel,56.5,2
287, A5,2018,Semi-Auto,14078,Petrol,45.6,2
288, A5,2015,Manual,13312,Diesel,57.6,2
289, A6,2018,Semi-Auto,10,Diesel,50.4,2
290, RS6,2015,Semi-Auto,20982,Petrol,29.4,4
291, A6,2018,Semi-Auto,15600,Diesel,50.4,2
292, A6,2019,Automatic,5429,Diesel,47.9,2
293, Q2,2019,Automatic,2710,Petrol,40.9,1.5
294, Q7,2019,Automatic,6423,Diesel,33.2,3
295, A1,2017,Manual,11017,Petrol,67.3,1
296, Q3,2017,Manual,16908,Petrol,51.4,1.4
297, A4,2017,Manual,28801,Petrol,49.6,2
298, A4,2017,Manual,23362,Petrol,50.4,1.4
299, Q5,2013,Manual,50025,Petrol,37.7,2
300, Q8,2018,Semi-Auto,8450,Diesel,32.8,3
301, A6,2018,Semi-Auto,1790,Diesel,50.4,2
302, A4,2018,Semi-Auto,10,Petrol,53.3,1.4
303, A4,2018,Manual,10,Petrol,52.3,1.4
304, A3,2018,Automatic,6754,Diesel,52.3,1.6
305, Q3,2014,Semi-Auto,35423,Diesel,47.9,2
306, A3,2017,Semi-Auto,16703,Petrol,41.5,2
307, Q3,2017,Manual,37203,Petrol,51.4,1.4
308, A3,2013,Semi-Auto,44405,Diesel,58.9,2
309, Q3,2014,Manual,79389,Diesel,50.4,2
310, A3,2015,Semi-Auto,61808,Diesel,57.6,2
311, A1,2016,Manual,10491,Petrol,67.3,1
312, A3,2018,Manual,19000,Petrol,49.6,2
313, A1,2016,Manual,18900,Petrol,67.3,1
314, A3,2014,Manual,50900,Diesel,68.9,2
315, A6,2013,Manual,49000,Diesel,29.7,2
316, A1,2015,Manual,23081,Petrol,39.8,2
317, Q7,2020,Semi-Auto,826,Diesel,29.4,4
318, A4,2019,Semi-Auto,5987,Petrol,38.2,2
319, A6,2019,Semi-Auto,2977,Diesel,47.9,2
320, Q5,2019,Automatic,7573,Diesel,39.2,2
321, Q3,2019,Manual,3055,Diesel,42.8,2
322, A4,2019,Automatic,22,Petrol,38.7,2
323, A4,2019,Automatic,2250,Diesel,51.4,2
324, Q5,2016,Semi-Auto,20547,Diesel,47.1,2
325, Q5,2019,Automatic,10,Diesel,39.2,2
326, A5,2016,Semi-Auto,18828,Petrol,35.8,3
327, Q5,2019,Semi-Auto,28,Petrol,32.1,2
328, Q7,2016,Automatic,38654,Diesel,47.9,3
329, A3,2014,Manual,25764,Petrol,40.4,2
330, TT,2016,Manual,28402,Diesel,62.8,2
331, A1,2015,Manual,17152,Petrol,56.5,1.4
332, A3,2016,Manual,29775,Petrol,60.1,1.4
333, Q5,2017,Semi-Auto,7801,Petrol,34,3
334, Q5,2015,Semi-Auto,60599,Diesel,42.8,3
335, A1,2017,Manual,20670,Petrol,57.6,1.4
336, A3,2019,Automatic,2257,Diesel,52.3,1.6
337, A3,2019,Manual,4039,Diesel,51.4,1.6
338, A3,2016,Manual,21241,Petrol,52.3,1.4
339, Q3,2016,Manual,16945,Diesel,49.6,2
340, A4,2018,Automatic,18010,Petrol,49.6,1.4
341, A4,2017,Semi-Auto,29653,Diesel,62.8,2
342, A5,2014,Semi-Auto,75159,Petrol,34.9,3
343, Q3,2014,Semi-Auto,33842,Diesel,47.9,2
344, A3,2015,Manual,42977,Diesel,67.3,2
345, A4,2019,Semi-Auto,26,Diesel,47.9,2
346, A1,2016,Manual,17454,Petrol,67.3,1
347, A3,2018,Manual,17547,Petrol,56.5,1.5
348, A3,2020,Semi-Auto,314,Petrol,34.9,2
349, A1,2016,Manual,25010,Petrol,58.9,1.4
350, A6,2019,Semi-Auto,3278,Diesel,47.9,2
351, A7,2019,Automatic,1285,Diesel,39.2,3
352, A6,2019,Automatic,4445,Diesel,47.9,2
353, A4,2020,Semi-Auto,6998,Petrol,38.2,2
354, A4,2020,Semi-Auto,6746,Diesel,45.6,2
355, Q7,2015,Semi-Auto,21245,Diesel,47.9,3
356, A4,2017,Manual,27394,Diesel,64.2,2
357, A1,2016,Manual,29283,Petrol,67.3,1
358, A1,2016,Manual,20905,Petrol,56.5,1.4
359, A1,2017,Manual,24386,Petrol,67.3,1
360, TT,2017,Semi-Auto,11621,Petrol,42.8,2
361, A3,2019,Semi-Auto,3409,Petrol,43.5,1.5
362, Q5,2016,Semi-Auto,30172,Diesel,42.2,3
363, A4,2015,Manual,27016,Diesel,62.8,2
364, A4,2020,Manual,7456,Petrol,40.9,2
365, A6,2019,Semi-Auto,20,Diesel,55.4,3
366, A4,2019,Semi-Auto,4781,Petrol,40.9,2
367, Q3,2016,Semi-Auto,40254,Petrol,40.4,2
368, TT,2019,Semi-Auto,12320,Petrol,40.9,2
369, Q2,2018,Manual,16534,Petrol,49.6,1.4
370, Q3,2017,Semi-Auto,20075,Petrol,42.2,2
371, A3,2016,Manual,14401,Petrol,60.1,1
372, A3,2016,Semi-Auto,19430,Petrol,47.9,2
373, RS4,2013,Semi-Auto,28359,Petrol,26.4,4.2
374, Q8,2019,Semi-Auto,16385,Diesel,33.6,3
375, A1,2014,Manual,24764,Diesel,74.3,1.6
376, A1,2014,Manual,26141,Petrol,53.3,1.4
377, A5,2020,Semi-Auto,7532,Petrol,39.2,2
378, A5,2020,Semi-Auto,7925,Diesel,45.6,2
379, A5,2020,Semi-Auto,7639,Petrol,39.8,2
380, Q3,2020,Semi-Auto,7914,Diesel,48.7,2
381, Q5,2018,Semi-Auto,15706,Petrol,40.4,2
382, A4,2019,Manual,4598,Petrol,38.2,2
383, A8,2018,Semi-Auto,6588,Diesel,48.7,3
384, Q7,2016,Semi-Auto,48248,Diesel,47.9,3
385, A3,2019,Semi-Auto,4549,Petrol,34.5,2
386, A1,2019,Manual,7564,Petrol,51.4,1
387, A8,2018,Semi-Auto,11276,Diesel,48.7,3
388, A4,2016,Manual,20141,Diesel,67.3,2
389, A3,2016,Manual,16555,Petrol,60.1,1.4
390, A1,2017,Manual,8608,Petrol,67.3,1
391, Q3,2017,Manual,18380,Petrol,49.6,1.4
392, Q3,2017,Semi-Auto,27136,Petrol,40.4,2
393, A3,2016,Manual,36409,Petrol,60.1,1.4
394, A6,2017,Semi-Auto,35219,Diesel,50.4,3
395, Q5,2018,Semi-Auto,10252,Petrol,40.4,2
396, A3,2018,Manual,16380,Diesel,67.3,1.6
397, A3,2015,Semi-Auto,30530,Diesel,64.2,2
398, Q5,2016,Semi-Auto,37129,Diesel,42.2,3
399, A3,2017,Manual,36400,Petrol,61.4,1.4
400, Q7,2018,Semi-Auto,8618,Diesel,32.8,3
401, Q2,2018,Manual,9634,Petrol,50.4,1.4
402, Q2,2017,Semi-Auto,18355,Diesel,68.9,1.6
403, Q5,2017,Semi-Auto,28604,Petrol,40.9,2
404, A1,2017,Manual,15187,Diesel,76.3,1.6
405, A5,2015,Semi-Auto,43417,Diesel,50.4,2
406, A8,2018,Semi-Auto,12195,Diesel,50.4,3
407, A5,2018,Semi-Auto,12686,Diesel,58.9,3
408, A1,2019,Semi-Auto,5356,Petrol,44.1,1.5
409, A4,2020,Semi-Auto,7963,Petrol,41.5,2
410, A5,2020,Semi-Auto,7423,Diesel,51.4,2
411, A1,2017,Manual,12148,Petrol,67.3,1
412, Q5,2016,Semi-Auto,44525,Diesel,42.2,3
413, Q3,2016,Manual,20952,Diesel,55.4,2
414, A6,2019,Semi-Auto,4582,Diesel,39.2,3
415, Q5,2014,Manual,36970,Diesel,47.9,2
416, Q3,2015,Manual,38244,Petrol,49.6,1.4
417, Q7,2015,Semi-Auto,26407,Diesel,47.9,3
418, Q2,2019,Manual,6484,Diesel,49.6,1.6
419, A3,2019,Manual,3325,Diesel,49.6,1.6
420, Q3,2017,Semi-Auto,9078,Petrol,40.4,2
421, A1,2017,Manual,22427,Petrol,67.3,1
422, A4,2015,Semi-Auto,41755,Diesel,53.3,2
423, A3,2015,Semi-Auto,35455,Petrol,58.9,1.4
424, A3,2017,Manual,14607,Petrol,60.1,1
425, A1,2016,Manual,24952,Petrol,55.4,1.4
426, A5,2014,Manual,49640,Diesel,64.2,2
427, Q3,2017,Manual,21576,Petrol,49.6,1.4
428, Q5,2017,Semi-Auto,20870,Diesel,55.4,2
429, A4,2017,Semi-Auto,30300,Diesel,62.8,2
430, Q3,2016,Manual,22353,Diesel,49.6,2
431, Q3,2016,Semi-Auto,23205,Diesel,55.4,2
432, A1,2017,Manual,15361,Petrol,55.4,1.4
433, A6,2019,Semi-Auto,8598,Diesel,47.9,2
434, A3,2019,Semi-Auto,6000,Diesel,52.3,1.6
435, A3,2019,Semi-Auto,5199,Diesel,52.3,1.6
436, A1,2018,Manual,15092,Petrol,57.7,1.4
437, A3,2017,Semi-Auto,3059,Petrol,43.5,2
438, TT,2016,Semi-Auto,28475,Petrol,40.9,2
439, A3,2013,Manual,35804,Petrol,54.3,1.4
440, A3,2017,Manual,24000,Petrol,60.1,1.4
441, Q7,2019,Semi-Auto,3264,Diesel,33.6,3
442, A3,2019,Semi-Auto,2868,Diesel,52.3,1.6
443, A4,2019,Semi-Auto,6541,Diesel,47.9,2
444, Q5,2019,Semi-Auto,4511,Diesel,38.2,2
445, Q3,2017,Semi-Auto,27057,Petrol,47.9,1.4
446, A4,2013,Manual,42185,Diesel,55.4,2
447, Q5,2015,Semi-Auto,59120,Diesel,47.1,2
448, A5,2016,Semi-Auto,41431,Diesel,52.3,2
449, Q5,2019,Semi-Auto,30,Petrol,33.2,2
450, Q5,2019,Semi-Auto,5065,Diesel,38.2,2
451, Q5,2019,Semi-Auto,4638,Diesel,38.2,2
452, RS6,2017,Semi-Auto,34926,Petrol,29.4,4
453, Q2,2018,Semi-Auto,4642,Diesel,46.3,1.6
454, A6,2015,Semi-Auto,29558,Diesel,67.3,2
455, A6,2019,Semi-Auto,4899,Diesel,47.9,2
456, A3,2017,Manual,17000,Petrol,60.1,1.4
457, A4,2017,Semi-Auto,51204,Diesel,56.5,2
458, A3,2013,Semi-Auto,38776,Petrol,56.5,1.4
459, Q3,2017,Manual,21972,Petrol,49.6,1.4
460, TT,2018,Semi-Auto,17648,Petrol,34.5,2.5
461, Q2,2017,Semi-Auto,5674,Petrol,52.3,1.4
462, A5,2017,Semi-Auto,22086,Diesel,62.8,2
463, A8,2019,Semi-Auto,10090,Petrol,37.7,3
464, Q3,2015,Semi-Auto,20825,Petrol,47.9,1.4
465, A1,2015,Manual,20042,Petrol,57.6,1.4
466, Q2,2019,Manual,3657,Diesel,49.6,1.6
467, Q2,2019,Manual,4502,Diesel,47.9,1.6
468, A4,2017,Semi-Auto,31214,Diesel,67.3,2
469, Q2,2018,Manual,16414,Petrol,50.4,1.4
470, Q2,2018,Manual,27198,Petrol,50.4,1.4
471, A3,2018,Semi-Auto,17166,Petrol,43.5,2
472, A3,2018,Semi-Auto,18283,Petrol,44.1,2
473, Q5,2018,Semi-Auto,15076,Diesel,56.5,2
474, Q5,2017,Semi-Auto,29330,Diesel,56.5,2
475, Q2,2017,Manual,25520,Petrol,50.4,1.4
476, A4,2020,Semi-Auto,7521,Diesel,49.6,2
477, A7,2019,Semi-Auto,933,Diesel,45.6,2
478, A3,2019,Semi-Auto,6018,Diesel,52.3,1.6
479, A3,2019,Manual,11330,Petrol,42.8,1.5
480, Q5,2016,Semi-Auto,23478,Diesel,42.2,3
481, Q2,2017,Manual,17872,Diesel,64.2,1.6
482, A5,2019,Semi-Auto,4327,Petrol,39.8,2
483, Q7,2019,Semi-Auto,4813,Diesel,33.2,3
484, Q2,2019,Manual,3578,Diesel,47.9,1.6
485, A6,2019,Semi-Auto,4196,Diesel,47.9,2
486, A1,2015,Manual,32065,Petrol,55.4,1.4
487, A8,2017,Semi-Auto,15072,Diesel,47.1,3
488, Q3,2017,Manual,50286,Diesel,61.4,2
489, Q3,2017,Semi-Auto,25667,Petrol,40.4,2
490, Q7,2017,Semi-Auto,33165,Diesel,47.9,3
