"id","model","year","transmission","mileage","fueltype","price","tax","mpg","enginesize"
33, Q3,2014,Automatic,39190,Diesel,15000,205.0,47.9,2.0
34, Q3,2017,Automatic,47482,Petrol,16000,150.0,47.9,1.4
35, Q3,2016,Automatic,40501,Diesel,16900,150.0,51.4,2.0
36, Q3,2014,Automatic,43195,Diesel,12300,200.0,47.9,2.0
37, A1,2017,Manual,31447,Petrol,10800,145.0,67.3,1.0
38, A6,2016,Automatic,34030,Diesel,19400,125.0,58.9,2.0
39, A4,2017,Manual,29063,Diesel,16000,145.0,70.6,2.0
40, A3,2017,Manual,29545,Diesel,17100,145.0,65.7,2.0
41, A3,2015,Manual,75619,Diesel,11300,20.0,68.9,2.0
42, Q3,2016,Automatic,39603,Diesel,17200,160.0,50.4,2.0
43, Q3,2017,Automatic,42908,Diesel,20300,145.0,51.4,2.0
44, A5,2014,Automatic,83872,Diesel,13200,125.0,58.9,2.0
45, Q3,2016,Automatic,58750,Petrol,15200,145.0,47.9,1.4
46, A3,2019,Manual,2029,Petrol,15700,145.0,49.6,1.0
47, A6,2018,Automatic,22958,Petrol,16600,145.0,50.4,1.8
48, A4,2017,Automatic,32097,Diesel,14400,145.0,72.4,2.0
49, A5,2017,Automatic,13057,Petrol,20200,145.0,53.3,2.0
50, S4,2017,Automatic,20278,Petrol,23700,145.0,38.7,3.0
51, A4,2016,Manual,52561,Diesel,12750,0.0,74.3,2.0
52, A6,2015,Automatic,31604,Diesel,13000,20.0,67.3,2.0
53, Q3,2016,Manual,32011,Petrol,15900,145.0,49.6,1.4
54, Q3,2016,Manual,39134,Diesel,15000,30.0,60.1,2.0
55, Q5,2015,Automatic,89483,Diesel,14700,205.0,47.1,2.0
56, A3,2015,Automatic,56291,Petrol,15000,200.0,42.8,1.8
57, A6,2016,Automatic,47767,Diesel,16000,20.0,61.4,2.0
58, A1,2014,Manual,34315,Petrol,11000,125.0,53.3,1.4
59, A3,2016,Manual,66369,Diesel,10200,0.0,83.1,1.6
60, A6,2016,Manual,34110,Diesel,18500,30.0,61.4,2.0
61, A1,2013,Manual,76269,Diesel,7000,0.0,74.3,1.6
62, A3,2016,Manual,37840,Diesel,10600,20.0,70.6,1.6
63, A3,2017,Manual,26249,Diesel,16000,30.0,67.3,1.6
64, Q3,2017,Manual,44898,Diesel,15000,125.0,57.7,2.0
65, Q3,2017,Manual,67161,Petrol,14000,150.0,51.4,1.4
66, A3,2018,Manual,17992,Petrol,18950,150.0,54.3,1.5
67, A4,2016,Manual,97440,Diesel,10200,20.0,70.6,2.0
68, A1,2017,Manual,19268,Petrol,11700,150.0,67.3,1.0
69, A3,2013,Automatic,51441,Petrol,11500,125.0,50.4,1.8
70, A1,2016,Manual,18181,Petrol,10800,0.0,67.3,1.0
71, A3,2016,Manual,19494,Diesel,12500,30.0,67.3,2.0
72, A6,2016,Manual,32808,Diesel,16600,30.0,61.4,2.0
73, A3,2017,Manual,25965,Diesel,13100,145.0,65.7,2.0
74, A3,2016,Manual,88215,Diesel,8300,20.0,68.9,2.0
75, A3,2019,Manual,5704,Petrol,16000,145.0,49.6,1.0
76, A4,2017,Manual,10959,Petrol,16900,145.0,51.4,1.4
77, Q5,2016,Automatic,30201,Diesel,19600,200.0,47.1,2.0
78, Q3,2017,Automatic,19319,Petrol,21800,145.0,40.4,2.0
79, A6,2017,Manual,22582,Diesel,16200,145.0,61.4,2.0
80, A5,2017,Manual,20052,Petrol,18700,145.0,49.6,2.0
81, Q3,2016,Manual,16666,Diesel,16100,30.0,60.1,2.0
82, A3,2016,Manual,25626,Diesel,11300,0.0,74.3,1.6
83, A3,2016,Manual,10460,Petrol,14100,20.0,60.1,1.4
84, A6,2016,Automatic,43307,Diesel,16600,125.0,57.6,2.0
85, A1,2017,Manual,29327,Petrol,11300,30.0,55.4,1.4
86, Q3,2017,Manual,36714,Petrol,15600,125.0,51.4,1.4
87, A1,2014,Manual,28324,Petrol,10000,125.0,53.3,1.4
88, A1,2016,Manual,12100,Petrol,14500,30.0,56.5,1.4
89, Q3,2017,Manual,18001,Diesel,16100,145.0,62.8,2.0
90, A1,2016,Manual,28760,Petrol,10600,30.0,55.4,1.4
91, A3,2019,Semi-Auto,4000,Petrol,25499,145.0,44.1,1.5
92, Q2,2019,Semi-Auto,7897,Diesel,25499,145.0,47.9,2.0
93, A6,2016,Automatic,24744,Diesel,15500,125.0,56.5,3.0
94, Q3,2015,Automatic,30075,Diesel,16200,160.0,51.4,2.0
95, A1,2017,Manual,12577,Petrol,14000,30.0,58.9,1.4
96, A6,2016,Automatic,24421,Diesel,17300,30.0,61.4,2.0
97, A1,2016,Manual,15567,Diesel,10600,0.0,76.3,1.6
98, A4,2018,Manual,15207,Petrol,17500,145.0,51.4,1.4
99, A4,2017,Manual,14864,Petrol,15000,145.0,52.3,1.4
100, A4,2019,Semi-Auto,9000,Petrol,25499,145.0,38.7,2.0
101, A4,2019,Manual,5000,Petrol,25000,145.0,38.7,2.0
102, Q2,2019,Semi-Auto,4264,Petrol,31000,145.0,33.2,2.0
103, Q3,2019,Manual,4000,Diesel,28000,145.0,42.8,2.0
104, Q3,2019,Manual,4000,Petrol,28000,145.0,42.2,1.5
105, Q2,2019,Manual,2721,Diesel,21499,145.0,49.6,1.6
106, Q2,2019,Semi-Auto,4000,Petrol,26000,145.0,42.2,1.5
107, Q5,2016,Semi-Auto,49649,Diesel,30000,235.0,42.2,3.0
108, A4,2017,Manual,14068,Petrol,17000,145.0,51.4,1.4
109, A4,2017,Manual,23092,Petrol,14500,145.0,52.3,1.4
110, Q3,2017,Automatic,30682,Diesel,17500,160.0,50.4,2.0
111, A1,2016,Manual,18272,Petrol,10500,0.0,67.3,1.0
112, Q2,2017,Automatic,23714,Diesel,14800,145.0,68.9,1.6
113, A6,2016,Automatic,71311,Diesel,12000,30.0,61.4,2.0
114, A6,2018,Automatic,29477,Diesel,22000,145.0,61.4,2.0
115, Q5,2016,Automatic,60551,Diesel,17800,200.0,47.1,2.0
116, A6,2017,Automatic,42071,Diesel,19800,30.0,61.4,2.0
117, A7,2014,Automatic,55774,Diesel,19500,235.0,44.8,3.0
118, A1,2016,Manual,36462,Diesel,9800,0.0,76.3,1.6
119, A3,2016,Manual,25376,Petrol,15500,30.0,57.6,1.4
120, A4,2017,Automatic,39388,Diesel,16800,145.0,67.3,2.0
121, A3,2017,Manual,64207,Diesel,11500,20.0,67.3,2.0
122, A1,2017,Manual,49221,Petrol,12100,145.0,55.4,1.4
123, A1,2017,Manual,27179,Diesel,12700,0.0,76.3,1.6
124, A4,2014,Manual,31376,Diesel,11700,125.0,58.9,2.0
125, A5,2015,Automatic,62668,Diesel,11500,145.0,53.3,2.0
126, A4,2017,Manual,10001,Petrol,17400,145.0,51.4,1.4
127, A6,2016,Automatic,52544,Diesel,16000,30.0,61.4,2.0
128, A4,2016,Manual,63097,Petrol,13100,125.0,49.6,2.0
129, A6,2016,Manual,72967,Diesel,14700,30.0,61.4,2.0
130, A5,2017,Automatic,32771,Diesel,21100,145.0,70.6,2.0
131, Q3,2018,Automatic,13303,Petrol,24400,145.0,40.4,2.0
132, A3,2019,Manual,2752,Petrol,18750,145.0,44.8,1.5
133, Q3,2016,Manual,23307,Diesel,16500,160.0,49.6,2.0
134, A1,2017,Manual,34551,Petrol,11000,150.0,67.3,1.0
135, A3,2017,Manual,25457,Diesel,13400,150.0,68.9,1.6
136, Q2,2018,Manual,12167,Petrol,20000,150.0,50.4,1.4
137, A6,2015,Automatic,23237,Diesel,15400,20.0,67.3,2.0
138, Q3,2016,Automatic,11863,Diesel,15500,160.0,50.4,2.0
139, A4,2017,Manual,21225,Diesel,14800,145.0,72.4,2.0
140, A6,2015,Automatic,32083,Diesel,17100,30.0,61.4,2.0
141, Q5,2017,Automatic,17039,Diesel,25750,145.0,55.4,2.0
142, A4,2016,Manual,72026,Diesel,11750,0.0,74.3,2.0
143, A1,2017,Manual,34824,Petrol,11200,0.0,67.3,1.0
144, A1,2017,Manual,20351,Petrol,12800,30.0,55.4,1.4
145, A4,2017,Automatic,58028,Petrol,16000,145.0,52.3,2.0
146, A5,2017,Automatic,44783,Diesel,20000,145.0,62.8,2.0
147, A4,2014,Manual,60604,Diesel,11950,20.0,67.3,2.0
148, A4,2013,Manual,39998,Diesel,9400,30.0,65.7,2.0
149, A4,2017,Automatic,20852,Diesel,20000,30.0,65.7,2.0
150, A6,2016,Manual,79728,Diesel,13300,30.0,64.2,2.0
151, A6,2017,Automatic,29095,Diesel,18500,20.0,64.2,2.0
152, A3,2013,Manual,98940,Diesel,8300,0.0,74.3,1.6
153, A1,2016,Manual,22780,Petrol,13500,30.0,58.9,1.4
154, A5,2018,Manual,20832,Petrol,19800,150.0,47.1,2.0
155, Q3,2016,Automatic,29196,Diesel,15400,145.0,55.4,2.0
156, A4,2017,Manual,14392,Petrol,13900,145.0,53.3,1.4
157, A4,2018,Manual,20070,Petrol,15600,145.0,52.3,1.4
158, A6,2016,Automatic,89334,Diesel,16200,30.0,62.8,3.0
159, A1,2016,Manual,21428,Petrol,10600,0.0,67.3,1.0
160, A4,2016,Manual,45485,Diesel,14300,20.0,70.6,2.0
161, Q3,2016,Manual,32704,Diesel,14700,30.0,60.1,2.0
162, Q3,2018,Automatic,42209,Petrol,19100,145.0,42.2,2.0
163, A4,2017,Manual,17278,Petrol,18100,145.0,48.7,1.4
164, A1,2017,Manual,29515,Petrol,11400,0.0,67.3,1.0
165, A3,2014,Manual,43662,Diesel,11600,20.0,67.3,2.0
166, A4,2017,Automatic,45225,Diesel,17300,145.0,62.8,2.0
167, A6,2017,Manual,45491,Diesel,16400,30.0,61.4,2.0
168, Q5,2014,Manual,52267,Petrol,17100,235.0,37.7,2.0
169, A3,2014,Semi-Auto,40807,Petrol,11498,125.0,50.4,1.8
170, Q3,2014,Manual,65959,Diesel,11698,160.0,49.6,2.0
171, Q5,2014,Semi-Auto,47648,Petrol,18998,260.0,35.8,2.0
172, Q5,2017,Semi-Auto,27948,Petrol,25498,145.0,40.9,2.0
173, A4,2013,Manual,31169,Petrol,10498,145.0,49.6,1.8
174, A4,2013,Automatic,42011,Petrol,9498,145.0,47.1,2.0
175, A6,2015,Semi-Auto,56115,Diesel,19998,160.0,50.4,3.0
176, A6,2015,Semi-Auto,65835,Diesel,16798,125.0,61.4,2.0
177, A6,2017,Semi-Auto,63383,Diesel,23998,145.0,45.6,3.0
178, Q5,2017,Semi-Auto,34011,Petrol,36998,145.0,34.0,3.0
179, A5,2014,Semi-Auto,52132,Diesel,13998,160.0,49.6,3.0
180, A4,2015,Manual,38787,Diesel,15995,145.0,55.4,2.0
181, A1,2017,Manual,34554,Petrol,13495,150.0,55.4,1.4
182, Q5,2017,Semi-Auto,17502,Petrol,30985,145.0,40.4,2.0
183, TT,2019,Automatic,3000,Petrol,29485,145.0,40.9,2.0
184, A6,2015,Manual,34646,Diesel,16985,30.0,61.4,2.0
185, Q5,2017,Semi-Auto,18000,Diesel,26485,150.0,56.5,2.0
186, Q3,2018,Semi-Auto,17085,Petrol,23985,150.0,47.9,1.4
187, A1,2017,Manual,48166,Diesel,12485,20.0,72.4,1.6
188, Q5,2015,Semi-Auto,38421,Diesel,22485,205.0,47.1,2.0
189, A5,2015,Manual,46637,Diesel,16498,30.0,61.4,2.0
190, A3,2016,Manual,24468,Diesel,11998,0.0,74.3,1.6
191, Q5,2017,Automatic,29343,Diesel,24985,200.0,47.1,2.0
192, A3,2019,Manual,8449,Diesel,17985,145.0,51.4,1.6
193, A5,2017,Manual,34679,Diesel,20485,30.0,65.7,2.0
194, A3,2018,Semi-Auto,23860,Petrol,16985,145.0,60.1,1.0
195, A4,2018,Automatic,21009,Petrol,30985,145.0,35.8,3.0
196, A6,2019,Automatic,1881,Diesel,29985,145.0,47.9,2.0
197, A6,2019,Semi-Auto,688,Diesel,27985,145.0,47.9,2.0
198, A6,2019,Automatic,1863,Diesel,30985,145.0,47.9,2.0
199, Q7,2020,Semi-Auto,10,Diesel,62985,145.0,33.2,3.0
200, RS6,2016,Semi-Auto,49050,Petrol,44985,325.0,29.4,4.0
201, A4,2019,Semi-Auto,1024,Petrol,28985,145.0,38.7,2.0
202, A4,2019,Semi-Auto,448,Petrol,24985,145.0,39.8,2.0
203, A4,2019,Semi-Auto,476,Petrol,26985,145.0,39.2,2.0
204, A7,2019,Automatic,5201,Diesel,39985,145.0,38.7,3.0
205, A3,2019,Semi-Auto,2028,Petrol,21985,145.0,42.2,1.5
206, A6,2019,Automatic,3241,Diesel,45485,145.0,39.2,3.0
207, Q5,2019,Automatic,355,Diesel,33985,145.0,39.2,2.0
208, A5,2019,Automatic,18,Petrol,28985,145.0,39.8,2.0
209, A3,2019,Automatic,3122,Petrol,29985,145.0,41.5,1.5
210, Q2,2019,Manual,824,Petrol,28985,145.0,40.9,1.5
211, A6,2019,Semi-Auto,2811,Diesel,31985,145.0,47.9,2.0
212, A6,2019,Semi-Auto,27,Diesel,31985,145.0,50.4,2.0
213, A4,2019,Semi-Auto,4254,Petrol,29485,145.0,38.2,2.0
214, A1,2019,Semi-Auto,2252,Petrol,17985,145.0,48.7,1.0
215, Q2,2019,Automatic,3422,Diesel,20985,145.0,47.9,1.6
216, Q2,2019,Automatic,37,Diesel,23685,145.0,47.9,1.6
217, A4,2019,Semi-Auto,7299,Petrol,27985,145.0,38.2,2.0
218, Q2,2019,Semi-Auto,1414,Petrol,27985,145.0,40.9,1.5
219, Q5,2019,Automatic,5135,Diesel,36985,145.0,38.2,2.0
220, Q5,2019,Automatic,6024,Diesel,37985,145.0,38.2,2.0
221, Q5,2020,Semi-Auto,10,Petrol,37985,145.0,32.1,2.0
222, Q7,2019,Automatic,10,Diesel,49985,145.0,33.2,3.0
223, Q7,2019,Automatic,10,Diesel,59995,145.0,33.2,3.0
224, Q5,2020,Semi-Auto,10,Petrol,47895,145.0,30.7,2.0
225, A4,2020,Semi-Auto,10,Petrol,31985,145.0,42.2,2.0
226, Q7,2015,Automatic,47606,Diesel,29985,200.0,47.9,3.0
227, A1,2015,Semi-Auto,26625,Petrol,12485,30.0,57.6,1.4
228, A5,2018,Automatic,5071,Petrol,24985,145.0,50.4,2.0
229, A5,2015,Semi-Auto,28011,Petrol,21985,260.0,34.9,3.0
230, Q3,2019,Automatic,10,Diesel,34985,145.0,47.1,2.0
231, A5,2019,Automatic,10,Diesel,29985,145.0,51.4,2.0
232, Q3,2019,Automatic,10,Diesel,34485,145.0,47.1,2.0
233, A1,2019,Manual,10,Petrol,19685,145.0,49.6,1.0
234, A4,2019,Automatic,10,Diesel,34985,145.0,53.3,2.0
235, A7,2019,Semi-Auto,10,Diesel,43885,145.0,38.2,3.0
236, A6,2019,Automatic,2000,Diesel,35895,145.0,47.9,2.0
237, Q2,2019,Automatic,10,Petrol,26985,145.0,43.5,1.5
238, A6,2019,Automatic,3510,Diesel,46985,145.0,36.2,3.0
239, A3,2019,Automatic,10,Petrol,23985,145.0,44.8,1.5
240, A5,2019,Automatic,10,Petrol,28985,145.0,39.8,2.0
241, A5,2019,Automatic,1010,Petrol,27985,145.0,39.8,2.0
242, A6,2019,Semi-Auto,500,Diesel,28985,145.0,47.9,2.0
243, A4,2019,Automatic,10,Petrol,29985,145.0,42.8,2.0
244, A3,2019,Manual,10,Diesel,21995,145.0,54.3,1.6
245, A5,2019,Automatic,10,Petrol,31985,145.0,39.8,2.0
246, A5,2019,Automatic,10,Diesel,32485,145.0,51.4,2.0
247, A3,2019,Manual,10,Diesel,21285,145.0,51.4,1.6
248, Q7,2019,Automatic,1510,Diesel,56985,145.0,33.2,3.0
249, RS3,2019,Semi-Auto,10,Petrol,43785,145.0,30.1,2.5
250, A4,2016,Semi-Auto,29845,Petrol,18498,160.0,45.6,2.0
251, A3,2014,Semi-Auto,27355,Petrol,14995,160.0,42.8,1.8
252, A4,2016,Manual,20885,Diesel,17998,30.0,64.2,2.0
253, A3,2014,Automatic,10534,Petrol,10985,30.0,56.5,1.2
254, A3,2016,Manual,25895,Diesel,12995,20.0,70.6,2.0
255, A1,2016,Manual,32867,Petrol,11495,0.0,67.3,1.0
256, Q5,2015,Semi-Auto,42793,Diesel,18295,205.0,47.1,2.0
257, A6,2015,Semi-Auto,49039,Diesel,18998,160.0,50.4,3.0
258, Q2,2017,Manual,22501,Diesel,18485,145.0,64.2,1.6
259, A8,2017,Automatic,1420,Diesel,38985,145.0,50.4,3.0
260, A5,2019,Automatic,10,Petrol,29485,145.0,40.4,2.0
261, A5,2017,Semi-Auto,26939,Diesel,22998,145.0,62.8,2.0
262, A8,2014,Semi-Auto,24786,Diesel,18998,205.0,47.9,3.0
263, A4,2017,Manual,18761,Petrol,17698,145.0,51.4,1.4
264, A5,2019,Automatic,10,Petrol,27995,145.0,40.4,2.0
265, Q3,2019,Manual,10,Diesel,31985,145.0,42.8,2.0
266, A4,2019,Automatic,10,Petrol,30995,145.0,38.7,2.0
267, A3,2017,Semi-Auto,22295,Petrol,18998,30.0,56.5,1.4
268, Q2,2017,Manual,18068,Petrol,16995,145.0,52.3,1.4
269, A3,2018,Manual,25000,Petrol,19995,150.0,42.2,1.5
270, Q2,2017,Manual,23043,Petrol,14495,150.0,55.4,1.0
271, A5,2014,Semi-Auto,80902,Diesel,12998,125.0,60.1,2.0
272, A4,2019,Automatic,10,Diesel,32485,145.0,50.4,2.0
273, A1,2019,Manual,10,Petrol,20485,145.0,48.7,1.0
274, Q3,2019,Automatic,10,Diesel,34485,145.0,47.1,2.0
275, Q3,2016,Manual,26474,Diesel,18698,145.0,52.3,2.0
276, Q5,2013,Semi-Auto,65458,Diesel,15998,235.0,44.1,3.0
277, TT,2018,Manual,34170,Petrol,16498,150.0,47.1,1.8
278, Q5,2019,Semi-Auto,100,Petrol,31998,145.0,33.2,2.0
279, Q3,2019,Automatic,650,Diesel,35985,145.0,47.1,2.0
280, Q5,2019,Automatic,10,Diesel,37985,145.0,38.2,2.0
281, Q5,2019,Semi-Auto,10,Petrol,31998,145.0,33.2,2.0
282, A4,2019,Manual,2928,Petrol,18998,145.0,41.5,2.0
283, Q3,2018,Manual,7157,Petrol,19485,145.0,51.4,1.4
284, Q3,2016,Semi-Auto,31600,Diesel,19995,160.0,50.4,2.0
285, Q7,2016,Semi-Auto,46600,Diesel,47995,300.0,39.2,4.0
286, A3,2019,Manual,10,Diesel,23485,145.0,56.5,2.0
287, A5,2018,Semi-Auto,14078,Petrol,23998,145.0,45.6,2.0
288, A5,2015,Manual,13312,Diesel,17998,125.0,57.6,2.0
289, A6,2018,Semi-Auto,10,Diesel,28985,145.0,50.4,2.0
290, RS6,2015,Semi-Auto,20982,Petrol,46000,325.0,29.4,4.0
291, A6,2018,Semi-Auto,15600,Diesel,26995,145.0,50.4,2.0
292, A6,2019,Automatic,5429,Diesel,33985,145.0,47.9,2.0
293, Q2,2019,Automatic,2710,Petrol,30985,145.0,40.9,1.5
294, Q7,2019,Automatic,6423,Diesel,52985,145.0,33.2,3.0
295, A1,2017,Manual,11017,Petrol,12698,150.0,67.3,1.0
296, Q3,2017,Manual,16908,Petrol,17298,125.0,51.4,1.4
297, A4,2017,Manual,28801,Petrol,16498,125.0,49.6,2.0
298, A4,2017,Manual,23362,Petrol,16798,145.0,50.4,1.4
299, Q5,2013,Manual,50025,Petrol,15998,235.0,37.7,2.0
300, Q8,2018,Semi-Auto,8450,Diesel,63985,145.0,32.8,3.0
301, A6,2018,Semi-Auto,1790,Diesel,27985,145.0,50.4,2.0
302, A4,2018,Semi-Auto,10,Petrol,19485,145.0,53.3,1.4
303, A4,2018,Manual,10,Petrol,20985,145.0,52.3,1.4
304, A3,2018,Automatic,6754,Diesel,22285,145.0,52.3,1.6
305, Q3,2014,Semi-Auto,35423,Diesel,14500,200.0,47.9,2.0
306, A3,2017,Semi-Auto,16703,Petrol,25000,200.0,41.5,2.0
307, Q3,2017,Manual,37203,Petrol,15800,125.0,51.4,1.4
308, A3,2013,Semi-Auto,44405,Diesel,13500,125.0,58.9,2.0
309, Q3,2014,Manual,79389,Diesel,12000,165.0,50.4,2.0
310, A3,2015,Semi-Auto,61808,Diesel,13800,125.0,57.6,2.0
311, A1,2016,Manual,10491,Petrol,11000,0.0,67.3,1.0
312, A3,2018,Manual,19000,Petrol,19995,150.0,49.6,2.0
313, A1,2016,Manual,18900,Petrol,11650,0.0,67.3,1.0
314, A3,2014,Manual,50900,Diesel,11850,20.0,68.9,2.0
315, A6,2013,Manual,49000,Diesel,12495,325.0,29.7,2.0
316, A1,2015,Manual,23081,Petrol,15995,235.0,39.8,2.0
317, Q7,2020,Semi-Auto,826,Diesel,82995,145.0,29.4,4.0
318, A4,2019,Semi-Auto,5987,Petrol,25990,145.0,38.2,2.0
319, A6,2019,Semi-Auto,2977,Diesel,30995,145.0,47.9,2.0
320, Q5,2019,Automatic,7573,Diesel,34985,145.0,39.2,2.0
321, Q3,2019,Manual,3055,Diesel,31995,145.0,42.8,2.0
322, A4,2019,Automatic,22,Petrol,29985,145.0,38.7,2.0
323, A4,2019,Automatic,2250,Diesel,28485,145.0,51.4,2.0
324, Q5,2016,Semi-Auto,20547,Diesel,21498,200.0,47.1,2.0
325, Q5,2019,Automatic,10,Diesel,32895,145.0,39.2,2.0
326, A5,2016,Semi-Auto,18828,Petrol,22998,260.0,35.8,3.0
327, Q5,2019,Semi-Auto,28,Petrol,35998,145.0,32.1,2.0
328, Q7,2016,Automatic,38654,Diesel,29985,200.0,47.9,3.0
329, A3,2014,Manual,25764,Petrol,16485,200.0,40.4,2.0
330, TT,2016,Manual,28402,Diesel,19485,30.0,62.8,2.0
331, A1,2015,Manual,17152,Petrol,13495,30.0,56.5,1.4
332, A3,2016,Manual,29775,Petrol,14995,20.0,60.1,1.4
333, Q5,2017,Semi-Auto,7801,Petrol,39995,145.0,34.0,3.0
334, Q5,2015,Semi-Auto,60599,Diesel,22990,240.0,42.8,3.0
335, A1,2017,Manual,20670,Petrol,12495,30.0,57.6,1.4
336, A3,2019,Automatic,2257,Diesel,24985,145.0,52.3,1.6
337, A3,2019,Manual,4039,Diesel,24485,145.0,51.4,1.6
338, A3,2016,Manual,21241,Petrol,16485,125.0,52.3,1.4
339, Q3,2016,Manual,16945,Diesel,20485,160.0,49.6,2.0
340, A4,2018,Automatic,18010,Petrol,24985,145.0,49.6,1.4
341, A4,2017,Semi-Auto,29653,Diesel,19995,145.0,62.8,2.0
342, A5,2014,Semi-Auto,75159,Petrol,16000,260.0,34.9,3.0
343, Q3,2014,Semi-Auto,33842,Diesel,14998,200.0,47.9,2.0
344, A3,2015,Manual,42977,Diesel,13995,20.0,67.3,2.0
345, A4,2019,Semi-Auto,26,Diesel,27990,145.0,47.9,2.0
346, A1,2016,Manual,17454,Petrol,11995,0.0,67.3,1.0
347, A3,2018,Manual,17547,Petrol,15995,150.0,56.5,1.5
348, A3,2020,Semi-Auto,314,Petrol,35995,150.0,34.9,2.0
349, A1,2016,Manual,25010,Petrol,13585,30.0,58.9,1.4
350, A6,2019,Semi-Auto,3278,Diesel,31985,145.0,47.9,2.0
351, A7,2019,Automatic,1285,Diesel,32985,145.0,39.2,3.0
352, A6,2019,Automatic,4445,Diesel,30985,145.0,47.9,2.0
353, A4,2020,Semi-Auto,6998,Petrol,34798,145.0,38.2,2.0
354, A4,2020,Semi-Auto,6746,Diesel,40780,145.0,45.6,2.0
355, Q7,2015,Semi-Auto,21245,Diesel,34995,205.0,47.9,3.0
356, A4,2017,Manual,27394,Diesel,18995,30.0,64.2,2.0
357, A1,2016,Manual,29283,Petrol,12995,0.0,67.3,1.0
358, A1,2016,Manual,20905,Petrol,14495,30.0,56.5,1.4
359, A1,2017,Manual,24386,Petrol,12995,0.0,67.3,1.0
360, TT,2017,Semi-Auto,11621,Petrol,24995,150.0,42.8,2.0
361, A3,2019,Semi-Auto,3409,Petrol,20985,145.0,43.5,1.5
362, Q5,2016,Semi-Auto,30172,Diesel,31995,240.0,42.2,3.0
363, A4,2015,Manual,27016,Diesel,13995,30.0,62.8,2.0
364, A4,2020,Manual,7456,Petrol,31985,145.0,40.9,2.0
365, A6,2019,Semi-Auto,20,Diesel,29490,145.0,55.4,3.0
366, A4,2019,Semi-Auto,4781,Petrol,20495,150.0,40.9,2.0
367, Q3,2016,Semi-Auto,40254,Petrol,21995,205.0,40.4,2.0
368, TT,2019,Semi-Auto,12320,Petrol,24995,150.0,40.9,2.0
369, Q2,2018,Manual,16534,Petrol,23995,150.0,49.6,1.4
370, Q3,2017,Semi-Auto,20075,Petrol,22995,150.0,42.2,2.0
371, A3,2016,Manual,14401,Petrol,15995,20.0,60.1,1.0
372, A3,2016,Semi-Auto,19430,Petrol,19995,145.0,47.9,2.0
373, RS4,2013,Semi-Auto,28359,Petrol,26995,565.0,26.4,4.2
374, Q8,2019,Semi-Auto,16385,Diesel,49995,150.0,33.6,3.0
375, A1,2014,Manual,24764,Diesel,11995,0.0,74.3,1.6
376, A1,2014,Manual,26141,Petrol,11995,125.0,53.3,1.4
377, A5,2020,Semi-Auto,7532,Petrol,37331,145.0,39.2,2.0
378, A5,2020,Semi-Auto,7925,Diesel,39454,145.0,45.6,2.0
379, A5,2020,Semi-Auto,7639,Petrol,37507,145.0,39.8,2.0
380, Q3,2020,Semi-Auto,7914,Diesel,33462,145.0,48.7,2.0
381, Q5,2018,Semi-Auto,15706,Petrol,30995,145.0,40.4,2.0
