id,model,year,transmission,mileage,fueltype,price,tax
133, Q3,2016,Manual,23307,Diesel,16500,160
134, A1,2017,Manual,34551,Petrol,11000,150
135, A3,2017,Manual,25457,Diesel,13400,150
136, Q2,2018,Manual,12167,Petrol,20000,150
137, A6,2015,Automatic,23237,Diesel,15400,20
138, Q3,2016,Automatic,11863,Diesel,15500,160
139, A4,2017,Manual,21225,Diesel,14800,145
140, A6,2015,Automatic,32083,Diesel,17100,30
141, Q5,2017,Automatic,17039,Diesel,25750,145
142, A4,2016,Manual,72026,Diesel,11750,0
143, A1,2017,Manual,34824,Petrol,11200,0
144, A1,2017,Manual,20351,Petrol,12800,30
145, A4,2017,Automatic,58028,Petrol,16000,145
146, A5,2017,Automatic,44783,Diesel,20000,145
147, A4,2014,Manual,60604,Diesel,11950,20
148, A4,2013,Manual,39998,Diesel,9400,30
149, A4,2017,Automatic,20852,Diesel,20000,30
150, A6,2016,Manual,79728,Diesel,13300,30
151, A6,2017,Automatic,29095,Diesel,18500,20
152, A3,2013,Manual,98940,Diesel,8300,0
153, A1,2016,Manual,22780,Petrol,13500,30
154, A5,2018,Manual,20832,Petrol,19800,150
155, Q3,2016,Automatic,29196,Diesel,15400,145
156, A4,2017,Manual,14392,Petrol,13900,145
157, A4,2018,Manual,20070,Petrol,15600,145
158, A6,2016,Automatic,89334,Diesel,16200,30
159, A1,2016,Manual,21428,Petrol,10600,0
160, A4,2016,Manual,45485,Diesel,14300,20
161, Q3,2016,Manual,32704,Diesel,14700,30
162, Q3,2018,Automatic,42209,Petrol,19100,145
163, A4,2017,Manual,17278,Petrol,18100,145
164, A1,2017,Manual,29515,Petrol,11400,0
165, A3,2014,Manual,43662,Diesel,11600,20
166, A4,2017,Automatic,45225,Diesel,17300,145
167, A6,2017,Manual,45491,Diesel,16400,30
168, Q5,2014,Manual,52267,Petrol,17100,235
169, A3,2014,Semi-Auto,40807,Petrol,11498,125
170, Q3,2014,Manual,65959,Diesel,11698,160
171, Q5,2014,Semi-Auto,47648,Petrol,18998,260
172, Q5,2017,Semi-Auto,27948,Petrol,25498,145
173, A4,2013,Manual,31169,Petrol,10498,145
174, A4,2013,Automatic,42011,Petrol,9498,145
175, A6,2015,Semi-Auto,56115,Diesel,19998,160
176, A6,2015,Semi-Auto,65835,Diesel,16798,125
177, A6,2017,Semi-Auto,63383,Diesel,23998,145
178, Q5,2017,Semi-Auto,34011,Petrol,36998,145
179, A5,2014,Semi-Auto,52132,Diesel,13998,160
180, A4,2015,Manual,38787,Diesel,15995,145
181, A1,2017,Manual,34554,Petrol,13495,150
182, Q5,2017,Semi-Auto,17502,Petrol,30985,145
183, TT,2019,Automatic,3000,Petrol,29485,145
184, A6,2015,Manual,34646,Diesel,16985,30
185, Q5,2017,Semi-Auto,18000,Diesel,26485,150
186, Q3,2018,Semi-Auto,17085,Petrol,23985,150
187, A1,2017,Manual,48166,Diesel,12485,20
188, Q5,2015,Semi-Auto,38421,Diesel,22485,205
189, A5,2015,Manual,46637,Diesel,16498,30
190, A3,2016,Manual,24468,Diesel,11998,0
191, Q5,2017,Automatic,29343,Diesel,24985,200
192, A3,2019,Manual,8449,Diesel,17985,145
193, A5,2017,Manual,34679,Diesel,20485,30
194, A3,2018,Semi-Auto,23860,Petrol,16985,145
195, A4,2018,Automatic,21009,Petrol,30985,145
196, A6,2019,Automatic,1881,Diesel,29985,145
197, A6,2019,Semi-Auto,688,Diesel,27985,145
198, A6,2019,Automatic,1863,Diesel,30985,145
199, Q7,2020,Semi-Auto,10,Diesel,62985,145
200, RS6,2016,Semi-Auto,49050,Petrol,44985,325
201, A4,2019,Semi-Auto,1024,Petrol,28985,145
202, A4,2019,Semi-Auto,448,Petrol,24985,145
203, A4,2019,Semi-Auto,476,Petrol,26985,145
204, A7,2019,Automatic,5201,Diesel,39985,145
205, A3,2019,Semi-Auto,2028,Petrol,21985,145
206, A6,2019,Automatic,3241,Diesel,45485,145
207, Q5,2019,Automatic,355,Diesel,33985,145
208, A5,2019,Automatic,18,Petrol,28985,145
209, A3,2019,Automatic,3122,Petrol,29985,145
210, Q2,2019,Manual,824,Petrol,28985,145
211, A6,2019,Semi-Auto,2811,Diesel,31985,145
212, A6,2019,Semi-Auto,27,Diesel,31985,145
213, A4,2019,Semi-Auto,4254,Petrol,29485,145
214, A1,2019,Semi-Auto,2252,Petrol,17985,145
215, Q2,2019,Automatic,3422,Diesel,20985,145
216, Q2,2019,Automatic,37,Diesel,23685,145
217, A4,2019,Semi-Auto,7299,Petrol,27985,145
218, Q2,2019,Semi-Auto,1414,Petrol,27985,145
219, Q5,2019,Automatic,5135,Diesel,36985,145
220, Q5,2019,Automatic,6024,Diesel,37985,145
221, Q5,2020,Semi-Auto,10,Petrol,37985,145
222, Q7,2019,Automatic,10,Diesel,49985,145
223, Q7,2019,Automatic,10,Diesel,59995,145
224, Q5,2020,Semi-Auto,10,Petrol,47895,145
225, A4,2020,Semi-Auto,10,Petrol,31985,145
226, Q7,2015,Automatic,47606,Diesel,29985,200
227, A1,2015,Semi-Auto,26625,Petrol,12485,30
228, A5,2018,Automatic,5071,Petrol,24985,145
229, A5,2015,Semi-Auto,28011,Petrol,21985,260
230, Q3,2019,Automatic,10,Diesel,34985,145
231, A5,2019,Automatic,10,Diesel,29985,145
232, Q3,2019,Automatic,10,Diesel,34485,145
233, A1,2019,Manual,10,Petrol,19685,145
234, A4,2019,Automatic,10,Diesel,34985,145
235, A7,2019,Semi-Auto,10,Diesel,43885,145
236, A6,2019,Automatic,2000,Diesel,35895,145
237, Q2,2019,Automatic,10,Petrol,26985,145
238, A6,2019,Automatic,3510,Diesel,46985,145
239, A3,2019,Automatic,10,Petrol,23985,145
240, A5,2019,Automatic,10,Petrol,28985,145
241, A5,2019,Automatic,1010,Petrol,27985,145
242, A6,2019,Semi-Auto,500,Diesel,28985,145
243, A4,2019,Automatic,10,Petrol,29985,145
244, A3,2019,Manual,10,Diesel,21995,145
245, A5,2019,Automatic,10,Petrol,31985,145
246, A5,2019,Automatic,10,Diesel,32485,145
247, A3,2019,Manual,10,Diesel,21285,145
248, Q7,2019,Automatic,1510,Diesel,56985,145
249, RS3,2019,Semi-Auto,10,Petrol,43785,145
250, A4,2016,Semi-Auto,29845,Petrol,18498,160
251, A3,2014,Semi-Auto,27355,Petrol,14995,160
252, A4,2016,Manual,20885,Diesel,17998,30
253, A3,2014,Automatic,10534,Petrol,10985,30
254, A3,2016,Manual,25895,Diesel,12995,20
255, A1,2016,Manual,32867,Petrol,11495,0
256, Q5,2015,Semi-Auto,42793,Diesel,18295,205
257, A6,2015,Semi-Auto,49039,Diesel,18998,160
258, Q2,2017,Manual,22501,Diesel,18485,145
259, A8,2017,Automatic,1420,Diesel,38985,145
260, A5,2019,Automatic,10,Petrol,29485,145
261, A5,2017,Semi-Auto,26939,Diesel,22998,145
262, A8,2014,Semi-Auto,24786,Diesel,18998,205
263, A4,2017,Manual,18761,Petrol,17698,145
264, A5,2019,Automatic,10,Petrol,27995,145
265, Q3,2019,Manual,10,Diesel,31985,145
266, A4,2019,Automatic,10,Petrol,30995,145
267, A3,2017,Semi-Auto,22295,Petrol,18998,30
268, Q2,2017,Manual,18068,Petrol,16995,145
269, A3,2018,Manual,25000,Petrol,19995,150
270, Q2,2017,Manual,23043,Petrol,14495,150
271, A5,2014,Semi-Auto,80902,Diesel,12998,125
272, A4,2019,Automatic,10,Diesel,32485,145
273, A1,2019,Manual,10,Petrol,20485,145
274, Q3,2019,Automatic,10,Diesel,34485,145
275, Q3,2016,Manual,26474,Diesel,18698,145
276, Q5,2013,Semi-Auto,65458,Diesel,15998,235
277, TT,2018,Manual,34170,Petrol,16498,150
278, Q5,2019,Semi-Auto,100,Petrol,31998,145
279, Q3,2019,Automatic,650,Diesel,35985,145
280, Q5,2019,Automatic,10,Diesel,37985,145
281, Q5,2019,Semi-Auto,10,Petrol,31998,145
282, A4,2019,Manual,2928,Petrol,18998,145
283, Q3,2018,Manual,7157,Petrol,19485,145
284, Q3,2016,Semi-Auto,31600,Diesel,19995,160
285, Q7,2016,Semi-Auto,46600,Diesel,47995,300
286, A3,2019,Manual,10,Diesel,23485,145
287, A5,2018,Semi-Auto,14078,Petrol,23998,145
288, A5,2015,Manual,13312,Diesel,17998,125
289, A6,2018,Semi-Auto,10,Diesel,28985,145
290, RS6,2015,Semi-Auto,20982,Petrol,46000,325
291, A6,2018,Semi-Auto,15600,Diesel,26995,145
292, A6,2019,Automatic,5429,Diesel,33985,145
293, Q2,2019,Automatic,2710,Petrol,30985,145
294, Q7,2019,Automatic,6423,Diesel,52985,145
295, A1,2017,Manual,11017,Petrol,12698,150
296, Q3,2017,Manual,16908,Petrol,17298,125
297, A4,2017,Manual,28801,Petrol,16498,125
298, A4,2017,Manual,23362,Petrol,16798,145
299, Q5,2013,Manual,50025,Petrol,15998,235
300, Q8,2018,Semi-Auto,8450,Diesel,63985,145
301, A6,2018,Semi-Auto,1790,Diesel,27985,145
302, A4,2018,Semi-Auto,10,Petrol,19485,145
303, A4,2018,Manual,10,Petrol,20985,145
304, A3,2018,Automatic,6754,Diesel,22285,145
305, Q3,2014,Semi-Auto,35423,Diesel,14500,200
306, A3,2017,Semi-Auto,16703,Petrol,25000,200
307, Q3,2017,Manual,37203,Petrol,15800,125
308, A3,2013,Semi-Auto,44405,Diesel,13500,125
309, Q3,2014,Manual,79389,Diesel,12000,165
310, A3,2015,Semi-Auto,61808,Diesel,13800,125
311, A1,2016,Manual,10491,Petrol,11000,0
312, A3,2018,Manual,19000,Petrol,19995,150
313, A1,2016,Manual,18900,Petrol,11650,0
314, A3,2014,Manual,50900,Diesel,11850,20
315, A6,2013,Manual,49000,Diesel,12495,325
316, A1,2015,Manual,23081,Petrol,15995,235
317, Q7,2020,Semi-Auto,826,Diesel,82995,145
318, A4,2019,Semi-Auto,5987,Petrol,25990,145
319, A6,2019,Semi-Auto,2977,Diesel,30995,145
320, Q5,2019,Automatic,7573,Diesel,34985,145
321, Q3,2019,Manual,3055,Diesel,31995,145
322, A4,2019,Automatic,22,Petrol,29985,145
323, A4,2019,Automatic,2250,Diesel,28485,145
324, Q5,2016,Semi-Auto,20547,Diesel,21498,200
325, Q5,2019,Automatic,10,Diesel,32895,145
326, A5,2016,Semi-Auto,18828,Petrol,22998,260
327, Q5,2019,Semi-Auto,28,Petrol,35998,145
328, Q7,2016,Automatic,38654,Diesel,29985,200
329, A3,2014,Manual,25764,Petrol,16485,200
330, TT,2016,Manual,28402,Diesel,19485,30
331, A1,2015,Manual,17152,Petrol,13495,30
332, A3,2016,Manual,29775,Petrol,14995,20
333, Q5,2017,Semi-Auto,7801,Petrol,39995,145
334, Q5,2015,Semi-Auto,60599,Diesel,22990,240
335, A1,2017,Manual,20670,Petrol,12495,30
336, A3,2019,Automatic,2257,Diesel,24985,145
337, A3,2019,Manual,4039,Diesel,24485,145
338, A3,2016,Manual,21241,Petrol,16485,125
339, Q3,2016,Manual,16945,Diesel,20485,160
340, A4,2018,Automatic,18010,Petrol,24985,145
341, A4,2017,Semi-Auto,29653,Diesel,19995,145
342, A5,2014,Semi-Auto,75159,Petrol,16000,260
343, Q3,2014,Semi-Auto,33842,Diesel,14998,200
344, A3,2015,Manual,42977,Diesel,13995,20
345, A4,2019,Semi-Auto,26,Diesel,27990,145
346, A1,2016,Manual,17454,Petrol,11995,0
347, A3,2018,Manual,17547,Petrol,15995,150
348, A3,2020,Semi-Auto,314,Petrol,35995,150
349, A1,2016,Manual,25010,Petrol,13585,30
350, A6,2019,Semi-Auto,3278,Diesel,31985,145
351, A7,2019,Automatic,1285,Diesel,32985,145
352, A6,2019,Automatic,4445,Diesel,30985,145
353, A4,2020,Semi-Auto,6998,Petrol,34798,145
354, A4,2020,Semi-Auto,6746,Diesel,40780,145
355, Q7,2015,Semi-Auto,21245,Diesel,34995,205
356, A4,2017,Manual,27394,Diesel,18995,30
357, A1,2016,Manual,29283,Petrol,12995,0
358, A1,2016,Manual,20905,Petrol,14495,30
359, A1,2017,Manual,24386,Petrol,12995,0
360, TT,2017,Semi-Auto,11621,Petrol,24995,150
361, A3,2019,Semi-Auto,3409,Petrol,20985,145
362, Q5,2016,Semi-Auto,30172,Diesel,31995,240
363, A4,2015,Manual,27016,Diesel,13995,30
364, A4,2020,Manual,7456,Petrol,31985,145
365, A6,2019,Semi-Auto,20,Diesel,29490,145
366, A4,2019,Semi-Auto,4781,Petrol,20495,150
367, Q3,2016,Semi-Auto,40254,Petrol,21995,205
368, TT,2019,Semi-Auto,12320,Petrol,24995,150
369, Q2,2018,Manual,16534,Petrol,23995,150
370, Q3,2017,Semi-Auto,20075,Petrol,22995,150
371, A3,2016,Manual,14401,Petrol,15995,20
372, A3,2016,Semi-Auto,19430,Petrol,19995,145
373, RS4,2013,Semi-Auto,28359,Petrol,26995,565
374, Q8,2019,Semi-Auto,16385,Diesel,49995,150
375, A1,2014,Manual,24764,Diesel,11995,0
376, A1,2014,Manual,26141,Petrol,11995,125
377, A5,2020,Semi-Auto,7532,Petrol,37331,145
378, A5,2020,Semi-Auto,7925,Diesel,39454,145
379, A5,2020,Semi-Auto,7639,Petrol,37507,145
380, Q3,2020,Semi-Auto,7914,Diesel,33462,145
381, Q5,2018,Semi-Auto,15706,Petrol,30995,145
382, A4,2019,Manual,4598,Petrol,25990,145
383, A8,2018,Semi-Auto,6588,Diesel,38995,145
384, Q7,2016,Semi-Auto,48248,Diesel,31995,205
385, A3,2019,Semi-Auto,4549,Petrol,30995,150
386, A1,2019,Manual,7564,Petrol,18995,145
387, A8,2018,Semi-Auto,11276,Diesel,41995,145
388, A4,2016,Manual,20141,Diesel,19995,30
389, A3,2016,Manual,16555,Petrol,16995,20
390, A1,2017,Manual,8608,Petrol,14495,145
391, Q3,2017,Manual,18380,Petrol,19995,145
392, Q3,2017,Semi-Auto,27136,Petrol,23995,145
393, A3,2016,Manual,36409,Petrol,13995,20
394, A6,2017,Semi-Auto,35219,Diesel,27995,150
395, Q5,2018,Semi-Auto,10252,Petrol,33995,150
396, A3,2018,Manual,16380,Diesel,17490,145
397, A3,2015,Semi-Auto,30530,Diesel,14990,30
398, Q5,2016,Semi-Auto,37129,Diesel,30995,235
399, A3,2017,Manual,36400,Petrol,13995,20
400, Q7,2018,Semi-Auto,8618,Diesel,47995,145
401, Q2,2018,Manual,9634,Petrol,21995,145
402, Q2,2017,Semi-Auto,18355,Diesel,19995,145
403, Q5,2017,Semi-Auto,28604,Petrol,26995,145
404, A1,2017,Manual,15187,Diesel,15995,145
405, A5,2015,Semi-Auto,43417,Diesel,18990,160
406, A8,2018,Semi-Auto,12195,Diesel,35995,145
407, A5,2018,Semi-Auto,12686,Diesel,27995,145
408, A1,2019,Semi-Auto,5356,Petrol,23995,145
409, A4,2020,Semi-Auto,7963,Petrol,31265,145
410, A5,2020,Semi-Auto,7423,Diesel,36312,145
411, A1,2017,Manual,12148,Petrol,13995,145
412, Q5,2016,Semi-Auto,44525,Diesel,31995,235
413, Q3,2016,Manual,20952,Diesel,18495,145
414, A6,2019,Semi-Auto,4582,Diesel,33490,145
415, Q5,2014,Manual,36970,Diesel,19995,200
416, Q3,2015,Manual,38244,Petrol,17995,145
417, Q7,2015,Semi-Auto,26407,Diesel,31995,200
418, Q2,2019,Manual,6484,Diesel,23995,145
419, A3,2019,Manual,3325,Diesel,20995,145
420, Q3,2017,Semi-Auto,9078,Petrol,24995,145
421, A1,2017,Manual,22427,Petrol,12995,145
422, A4,2015,Semi-Auto,41755,Diesel,14995,150
423, A3,2015,Semi-Auto,35455,Petrol,12490,30
424, A3,2017,Manual,14607,Petrol,14298,20
425, A1,2016,Manual,24952,Petrol,11498,30
426, A5,2014,Manual,49640,Diesel,11998,30
427, Q3,2017,Manual,21576,Petrol,19998,145
428, Q5,2017,Semi-Auto,20870,Diesel,27995,145
429, A4,2017,Semi-Auto,30300,Diesel,19995,30
430, Q3,2016,Manual,22353,Diesel,19995,160
431, Q3,2016,Semi-Auto,23205,Diesel,19995,145
432, A1,2017,Manual,15361,Petrol,13995,30
433, A6,2019,Semi-Auto,8598,Diesel,29995,145
434, A3,2019,Semi-Auto,6000,Diesel,19990,145
435, A3,2019,Semi-Auto,5199,Diesel,19990,145
436, A1,2018,Manual,15092,Petrol,14995,145
437, A3,2017,Semi-Auto,3059,Petrol,36990,145
438, TT,2016,Semi-Auto,28475,Petrol,24995,200
439, A3,2013,Manual,35804,Petrol,11490,30
440, A3,2017,Manual,24000,Petrol,18495,30
441, Q7,2019,Semi-Auto,3264,Diesel,46990,145
442, A3,2019,Semi-Auto,2868,Diesel,23995,145
443, A4,2019,Semi-Auto,6541,Diesel,27990,145
444, Q5,2019,Semi-Auto,4511,Diesel,36990,145
445, Q3,2017,Semi-Auto,27057,Petrol,18995,145
446, A4,2013,Manual,42185,Diesel,12990,145
447, Q5,2015,Semi-Auto,59120,Diesel,17995,200
448, A5,2016,Semi-Auto,41431,Diesel,16498,160
449, Q5,2019,Semi-Auto,30,Petrol,31998,145
450, Q5,2019,Semi-Auto,5065,Diesel,36995,145
451, Q5,2019,Semi-Auto,4638,Diesel,36995,145
452, RS6,2017,Semi-Auto,34926,Petrol,57995,325
453, Q2,2018,Semi-Auto,4642,Diesel,22890,145
454, A6,2015,Semi-Auto,29558,Diesel,16995,20
455, A6,2019,Semi-Auto,4899,Diesel,33298,145
456, A3,2017,Manual,17000,Petrol,15995,20
457, A4,2017,Semi-Auto,51204,Diesel,20995,145
458, A3,2013,Semi-Auto,38776,Petrol,14995,30
459, Q3,2017,Manual,21972,Petrol,19995,145
460, TT,2018,Semi-Auto,17648,Petrol,39995,145
461, Q2,2017,Semi-Auto,5674,Petrol,22995,145
462, A5,2017,Semi-Auto,22086,Diesel,24995,145
463, A8,2019,Semi-Auto,10090,Petrol,39995,145
464, Q3,2015,Semi-Auto,20825,Petrol,19995,145
465, A1,2015,Manual,20042,Petrol,12995,30
466, Q2,2019,Manual,3657,Diesel,22663,145
467, Q2,2019,Manual,4502,Diesel,24368,145
468, A4,2017,Semi-Auto,31214,Diesel,19495,30
469, Q2,2018,Manual,16414,Petrol,19990,145
470, Q2,2018,Manual,27198,Petrol,21495,145
471, A3,2018,Semi-Auto,17166,Petrol,28995,145
472, A3,2018,Semi-Auto,18283,Petrol,26990,145
473, Q5,2018,Semi-Auto,15076,Diesel,27995,145
474, Q5,2017,Semi-Auto,29330,Diesel,25995,145
475, Q2,2017,Manual,25520,Petrol,19995,145
476, A4,2020,Semi-Auto,7521,Diesel,38534,145
477, A7,2019,Semi-Auto,933,Diesel,41995,145
478, A3,2019,Semi-Auto,6018,Diesel,19990,145
479, A3,2019,Manual,11330,Petrol,18495,145
480, Q5,2016,Semi-Auto,23478,Diesel,33995,235
481, Q2,2017,Manual,17872,Diesel,18995,145
482, A5,2019,Semi-Auto,4327,Petrol,30709,145
483, Q7,2019,Semi-Auto,4813,Diesel,48136,145
484, Q2,2019,Manual,3578,Diesel,24365,145
485, A6,2019,Semi-Auto,4196,Diesel,33295,145
486, A1,2015,Manual,32065,Petrol,13995,30
487, A8,2017,Semi-Auto,15072,Diesel,28995,200
488, Q3,2017,Manual,50286,Diesel,16490,145
489, Q3,2017,Semi-Auto,25667,Petrol,23995,145
490, Q7,2017,Semi-Auto,33165,Diesel,35995,200
491, Q2,2017,Manual,27078,Petrol,19995,125
492, Q2,2017,Manual,29874,Petrol,19995,125
493, Q5,2015,Semi-Auto,28977,Diesel,21995,200
494, Q3,2016,Semi-Auto,28526,Diesel,21995,160
495, Q3,2017,Manual,14068,Diesel,22995,145
496, A3,2018,Manual,6321,Petrol,18990,145
497, A8,2018,Semi-Auto,4440,Petrol,40990,145
498, A3,2019,Manual,2085,Diesel,23995,145
499, Q5,2019,Semi-Auto,2712,Diesel,37995,145
500, A6,2019,Semi-Auto,3968,Diesel,33410,145
501, Q2,2019,Manual,6921,Petrol,22997,145
502, A3,2015,Manual,50062,Petrol,14995,30
503, A1,2015,Manual,31500,Petrol,11995,30
504, A1,2015,Manual,21807,Petrol,12995,30
505, A5,2019,Semi-Auto,7215,Diesel,27990,145
506, A6,2019,Semi-Auto,5397,Diesel,29990,145
507, A3,2019,Manual,4963,Petrol,23377,145
508, A3,2017,Manual,13688,Petrol,25995,200
509, A3,2017,Semi-Auto,19735,Petrol,18995,30
510, Q3,2017,Semi-Auto,22175,Petrol,20995,145
511, A4,2018,Semi-Auto,13907,Petrol,23995,145
512, A1,2018,Manual,20106,Petrol,14495,145
513, Q5,2018,Semi-Auto,7891,Petrol,30995,145
514, A4,2019,Semi-Auto,4836,Diesel,26490,145
515, A5,2019,Manual,4587,Petrol,34259,145
516, A5,2019,Manual,5721,Petrol,35131,145
517, Q7,2019,Semi-Auto,4236,Diesel,50414,145
518, Q5,2015,Semi-Auto,18188,Diesel,21995,200
519, A5,2016,Manual,41497,Diesel,16995,125
