number_of_rooms,number_of_bathrooms,sqft,location,days_on_market,initial_price,neighborhood,rental_price
0,1,441,poor,19,1613,westbrae,1613
0,1,112,good,7,1487,downtown,1487
2,1,876,poor,15,3347,westbrae,3347
3,2,860,good,4,4631,downtown,4631
0,1,312,poor,26,1479,westbrae,1461.252
0,1,233,great,10,2079,south_side,2079
1,1,743,great,3,2732,south_side,2732
2,1,564,good,6,3137,downtown,3137
0,1,335,good,12,1609,downtown,1609
2,1,879,great,10,3923,south_side,3923
3,2,1001,poor,57,4245,westbrae,3930.87
1,1,721,great,3,2701,south_side,2701
0,1,547,good,2,1936,downtown,1936
2,1,871,good,3,3434,downtown,3434
2,1,904,great,8,3938,south_side,3938
0,1,150,poor,60,957,westbrae,880.44
2,1,892,poor,18,3303,westbrae,3303
2,1,886,good,10,3396,downtown,3396
2,1,619,great,0,3671,south_side,3671
2,1,598,poor,16,3049,westbrae,3049
2,1,883,good,8,3411,downtown,3411
1,1,443,good,10,1820,downtown,1820
3,2,969,poor,56,4236,westbrae,3931.008
0,1,457,good,4,1796,downtown,1796
3,2,1175,good,0,4999,downtown,4999
0,1,511,great,1,2431,south_side,2431
1,1,514,poor,51,1536,westbrae,1440.768
3,2,916,good,3,4716,downtown,4716
1,1,625,poor,42,1699,westbrae,1624.244
0,1,442,good,5,1779,downtown,1779
0,1,310,poor,20,1465,westbrae,1465
3,2,865,good,0,4742,downtown,4742
3,2,819,great,12,5049,south_side,5049
1,1,598,great,7,2499,south_side,2499
0,1,383,good,11,1707,downtown,1707
0,1,145,good,6,1442,downtown,1442
2,1,878,good,8,3379,downtown,3379
2,1,557,poor,29,2904,westbrae,2851.728
0,1,505,good,2,1863,downtown,1863
2,1,646,great,0,3727,south_side,3727
0,1,123,great,9,1976,south_side,1976
0,1,375,poor,17,1620,westbrae,1620
3,2,1124,great,9,5420,south_side,5420
1,1,704,good,14,2081,downtown,2081
0,1,294,great,1,2221,south_side,2221
2,1,850,good,2,3437,downtown,3437
0,1,376,good,1,1766,downtown,1766
0,1,150,poor,43,1083,westbrae,1033.182
3,2,1054,poor,46,4411,westbrae,4181.628
0,1,191,good,12,1492,downtown,1492
0,1,300,good,8,1667,downtown,1667
0,1,283,good,7,1582,downtown,1582
0,1,454,good,13,1753,downtown,1753
2,1,589,good,7,3077,downtown,3077
2,1,906,good,9,3421,downtown,3421
0,1,222,poor,58,1036,westbrae,957.264
3,2,1088,poor,52,4393,westbrae,4111.848
0,1,410,good,3,1740,downtown,1740
1,1,597,good,9,1978,downtown,1978
3,2,1006,poor,27,4580,westbrae,4515.88
1,1,499,poor,38,1623,westbrae,1564.572
0,1,149,poor,47,1046,westbrae,989.516
0,1,426,good,3,1783,downtown,1783
0,1,361,great,2,2210,south_side,2210
3,2,880,good,2,4726,downtown,4726
2,1,935,good,4,3477,downtown,3477
1,1,363,good,12,1765,downtown,1765
3,2,1037,poor,35,4578,westbrae,4440.66
3,2,1145,good,11,4929,downtown,4929
1,1,435,good,8,1855,downtown,1855
3,2,1114,great,9,5363,south_side,5363
3,2,1055,good,0,4933,downtown,4933
1,1,503,good,9,1866,downtown,1866
3,2,816,good,8,4594,downtown,4594
1,1,435,good,6,1884,downtown,1884
1,1,609,poor,15,1929,westbrae,1929
3,2,984,good,0,4855,downtown,4855
1,1,602,good,2,2043,downtown,2043
2,1,892,good,3,3435,downtown,3435
0,1,397,good,11,1698,downtown,1698
3,2,871,poor,31,4397,westbrae,4300.266
2,1,653,good,9,3147,downtown,3147
1,1,748,poor,62,1631,westbrae,1493.996
0,1,235,great,14,2000,south_side,2000
3,2,1133,good,9,4874,downtown,4874
0,1,272,poor,57,1117,westbrae,1034.342
0,1,532,poor,63,1316,westbrae,1202.824
2,1,855,good,9,3362,downtown,3362
3,2,1165,good,9,4902,downtown,4902
3,2,1085,great,13,5279,south_side,5279
0,1,195,great,6,2039,south_side,2039
1,1,409,great,4,2380,south_side,2380
3,2,1186,poor,62,4437,westbrae,4064.292
1,1,476,great,8,2370,south_side,2370
1,1,438,great,6,2332,south_side,2332
3,2,1182,good,6,4994,downtown,4994
1,1,305,good,14,1675,downtown,1675
3,2,1179,good,7,4977,downtown,4977
3,2,1109,good,9,4906,downtown,4906
0,1,322,good,13,1573,downtown,1573
2,1,822,good,8,3374,downtown,3374
0,1,525,good,0,1875,downtown,1875
3,2,1022,poor,60,4300,westbrae,3956
0,1,303,poor,48,1179,westbrae,1112.976
1,1,656,poor,31,1872,westbrae,1830.816
3,2,1212,poor,16,4906,westbrae,4906
1,1,743,poor,44,1756,westbrae,1671.712
1,1,354,good,0,1859,downtown,1859
1,1,579,poor,51,1550,westbrae,1453.9
1,1,327,poor,63,1201,westbrae,1097.714
2,1,550,good,1,3155,downtown,3155
3,2,914,good,0,4805,downtown,4805
3,2,1225,poor,56,4504,westbrae,4179.712
1,1,714,good,8,2135,downtown,2135
2,1,679,good,1,3251,downtown,3251
1,1,719,poor,64,1596,alcatraz_ave,1455.552
0,1,461,great,6,2269,berkeley_hills,2269
3,2,1097,good,7,4832,thowsand_oaks,4832
2,1,525,good,3,3058,thowsand_oaks,3058
3,2,850,good,1,4718,thowsand_oaks,4718
3,2,1183,poor,23,4801,alcatraz_ave,4772.194
3,2,915,great,1,5240,berkeley_hills,5240
3,2,972,good,5,4794,thowsand_oaks,4794
3,2,903,poor,27,4528,alcatraz_ave,4464.608
2,1,738,good,11,3277,thowsand_oaks,3277
1,1,608,poor,59,1477,alcatraz_ave,1361.794
2,1,908,poor,49,3013,alcatraz_ave,2838.246
3,2,961,good,9,4764,thowsand_oaks,4764
0,1,225,good,3,1626,thowsand_oaks,1626
1,1,635,good,1,2111,thowsand_oaks,2111
1,1,519,good,8,1956,thowsand_oaks,1956
2,1,917,great,13,3901,berkeley_hills,3901
3,2,1094,great,12,5323,berkeley_hills,5323
0,1,296,great,5,2151,berkeley_hills,2151
2,1,536,poor,43,2751,alcatraz_ave,2624.454
3,2,863,great,4,5151,berkeley_hills,5151
3,2,953,good,10,4682,thowsand_oaks,4682
0,1,451,poor,60,1234,alcatraz_ave,1135.28
3,2,1236,good,11,4993,thowsand_oaks,4993
2,1,624,poor,47,2738,alcatraz_ave,2590.148
3,2,902,poor,42,4379,alcatraz_ave,4186.324
0,1,310,good,12,1638,thowsand_oaks,1638
2,1,882,good,13,3322,thowsand_oaks,3322
2,1,939,good,12,3437,thowsand_oaks,3437
2,1,659,good,14,3166,thowsand_oaks,3166
2,1,740,good,1,3329,thowsand_oaks,3329
2,1,697,good,3,3240,thowsand_oaks,3240
1,1,580,poor,45,1593,alcatraz_ave,1513.35
0,1,102,great,8,1895,berkeley_hills,1895
2,1,921,poor,53,3026,alcatraz_ave,2826.284
1,1,380,poor,30,1577,alcatraz_ave,1545.46
3,2,869,great,2,5152,berkeley_hills,5152
1,1,727,good,11,2078,thowsand_oaks,2078
0,1,240,poor,45,1152,alcatraz_ave,1094.4
0,1,535,good,14,1830,thowsand_oaks,1830
2,1,677,poor,49,2778,alcatraz_ave,2616.876
0,1,187,good,0,1566,thowsand_oaks,1566
2,1,919,good,12,3419,thowsand_oaks,3419
3,2,1171,poor,25,4775,alcatraz_ave,4727.25
3,2,1121,good,10,4877,thowsand_oaks,4877
0,1,124,good,6,1441,thowsand_oaks,1441
1,1,326,good,9,1782,thowsand_oaks,1782
0,1,469,good,14,1713,thowsand_oaks,1713
3,2,1102,poor,64,4297,alcatraz_ave,3918.864
0,1,379,poor,28,1534,alcatraz_ave,1509.456
3,2,983,great,14,5145,berkeley_hills,5145
1,1,686,good,4,2175,thowsand_oaks,2175
0,1,194,great,10,2042,berkeley_hills,2042
2,1,890,good,6,3476,thowsand_oaks,3476
0,1,497,good,4,1877,thowsand_oaks,1877
3,2,831,good,4,4621,thowsand_oaks,4621
1,1,472,poor,17,1771,alcatraz_ave,1771
3,2,1032,poor,51,4394,alcatraz_ave,4121.572
0,1,398,great,12,2151,berkeley_hills,2151
3,2,913,great,4,5269,berkeley_hills,5269
0,1,438,great,8,2273,berkeley_hills,2273
0,1,220,good,3,1548,thowsand_oaks,1548
3,2,1009,great,8,5326,berkeley_hills,5326
1,1,649,great,5,2563,berkeley_hills,2563
0,1,499,good,5,1839,thowsand_oaks,1839
2,1,677,good,0,3232,thowsand_oaks,3232
3,2,926,good,13,4679,thowsand_oaks,4679
3,2,1005,poor,59,4255,alcatraz_ave,3923.11
0,1,137,good,9,1479,thowsand_oaks,1479
3,2,1066,good,13,4774,thowsand_oaks,4774
0,1,436,good,14,1658,thowsand_oaks,1658
2,1,773,good,12,3207,thowsand_oaks,3207
3,2,1038,great,8,5318,berkeley_hills,5318
0,1,103,good,12,1413,thowsand_oaks,1413
0,1,498,good,10,1801,thowsand_oaks,1801
0,1,432,poor,55,1303,alcatraz_ave,1211.79
0,1,127,poor,61,923,alcatraz_ave,847.314
1,1,490,great,6,2452,berkeley_hills,2452
3,2,987,great,6,5298,berkeley_hills,5298
1,1,435,poor,49,1457,alcatraz_ave,1372.494
2,1,606,good,11,3068,thowsand_oaks,3068
1,1,638,poor,41,1774,alcatraz_ave,1699.492
3,2,944,great,2,5321,berkeley_hills,5321
1,1,601,poor,47,1637,alcatraz_ave,1548.602
3,2,1024,poor,17,4745,alcatraz_ave,4745
1,1,729,poor,63,1554,alcatraz_ave,1420.356
3,2,1226,great,11,5436,berkeley_hills,5436
0,1,519,good,12,1760,thowsand_oaks,1760
0,1,399,good,9,1672,thowsand_oaks,1672
2,1,665,good,12,3106,thowsand_oaks,3106
2,1,566,great,9,3569,berkeley_hills,3569
2,1,549,poor,19,2997,alcatraz_ave,2997
2,1,934,good,2,3529,thowsand_oaks,3529
0,1,500,poor,42,1482,alcatraz_ave,1416.792
0,1,111,great,9,1878,berkeley_hills,1878
3,2,848,good,6,4599,thowsand_oaks,4599
0,1,305,good,3,1687,thowsand_oaks,1687
0,1,361,poor,56,1245,alcatraz_ave,1155.36
1,1,565,good,6,2038,thowsand_oaks,2038
0,1,283,poor,54,1115,alcatraz_ave,1039.18
2,1,505,great,11,3478,berkeley_hills,3478
0,1,228,great,10,2067,berkeley_hills,2067
3,2,1119,poor,54,4405,alcatraz_ave,4105.46
0,1,267,good,2,1635,thowsand_oaks,1635
3,2,916,good,0,4727,thowsand_oaks,4727
2,1,903,poor,58,2923,alcatraz_ave,2700.852
3,2,1046,good,13,4722,thowsand_oaks,4722
1,1,513,good,11,1924,thowsand_oaks,1924
3,2,1211,good,1,5043,thowsand_oaks,5043
0,1,105,poor,28,1207,alcatraz_ave,1187.688
2,1,553,good,1,3177,thowsand_oaks,3177
3,2,1044,good,9,4847,thowsand_oaks,4847
0,1,492,poor,64,1265,alcatraz_ave,1153.68
2,1,847,good,7,3419,thowsand_oaks,3419
0,1,232,poor,62,987,alcatraz_ave,904.092
2,1,774,great,3,3875,berkeley_hills,3875
2,1,582,poor,60,2591,alcatraz_ave,2383.72
2,1,652,good,0,3212,thowsand_oaks,3212
2,1,538,good,10,2988,thowsand_oaks,2988
0,1,391,poor,53,1245,alcatraz_ave,1162.83
1,1,723,great,3,2649,berkeley_hills,2649
3,2,1043,great,2,5356,berkeley_hills,5356
3,2,893,poor,38,4391,alcatraz_ave,4232.924
2,1,608,good,9,3109,thowsand_oaks,3109
0,1,511,great,12,2242,berkeley_hills,2242
2,1,791,great,1,3870,berkeley_hills,3870
2,1,792,poor,33,3014,alcatraz_ave,2935.636
0,1,110,poor,20,1315,alcatraz_ave,1315
1,1,616,poor,17,1943,alcatraz_ave,1943
2,1,505,good,2,3080,thowsand_oaks,3080
1,1,411,good,8,1810,thowsand_oaks,1810
2,1,846,good,12,3282,thowsand_oaks,3282
3,2,965,good,4,4811,thowsand_oaks,4811
1,1,440,good,6,1847,thowsand_oaks,1847
1,1,386,poor,56,1345,alcatraz_ave,1248.16
3,2,1247,good,11,4974,thowsand_oaks,4974
3,2,1058,great,11,5336,berkeley_hills,5336
2,1,587,poor,63,2572,alcatraz_ave,2350.808
0,1,145,great,1,2049,berkeley_hills,2049
3,2,928,poor,47,4324,alcatraz_ave,4090.504
2,1,735,good,4,3288,thowsand_oaks,3288
1,1,433,poor,51,1430,alcatraz_ave,1341.34
3,2,1009,good,10,4760,thowsand_oaks,4760
0,1,369,poor,42,1308,alcatraz_ave,1250.448
1,1,654,poor,36,1841,alcatraz_ave,1782.088
0,1,144,good,5,1531,thowsand_oaks,1531
0,1,425,great,13,2162,berkeley_hills,2162
1,1,509,poor,20,1765,alcatraz_ave,1765
2,1,615,good,9,3085,thowsand_oaks,3085
1,1,519,great,6,2453,berkeley_hills,2453
3,2,1235,great,1,5602,berkeley_hills,5602
0,1,434,good,0,1800,thowsand_oaks,1800
3,2,1028,poor,15,4693,alcatraz_ave,4693
2,1,852,good,12,3369,thowsand_oaks,3369
3,2,1039,good,1,4887,thowsand_oaks,4887
3,2,1020,great,5,5319,berkeley_hills,5319
0,1,354,great,13,2162,berkeley_hills,2162
3,2,1034,great,12,5259,berkeley_hills,5259
3,2,800,good,2,4618,thowsand_oaks,4618
2,1,815,good,0,3436,thowsand_oaks,3436
0,1,350,poor,61,1096,alcatraz_ave,1006.128
0,1,489,great,6,2307,berkeley_hills,2307
1,1,744,poor,37,1919,alcatraz_ave,1853.754
3,2,874,good,1,4671,thowsand_oaks,4671
0,1,392,great,7,2205,berkeley_hills,2205
0,1,485,great,12,2285,berkeley_hills,2285
0,1,500,poor,27,1632,alcatraz_ave,1609.152
3,2,1239,poor,24,4876,alcatraz_ave,4836.992
1,1,702,good,13,2068,thowsand_oaks,2068
0,1,467,good,1,1869,thowsand_oaks,1869
2,1,564,good,7,3119,thowsand_oaks,3119
1,1,560,great,2,2497,berkeley_hills,2497
0,1,219,good,8,1529,thowsand_oaks,1529
3,2,1154,great,11,5396,berkeley_hills,5396
1,1,309,good,2,1783,thowsand_oaks,1783
2,1,655,poor,32,2921,alcatraz_ave,2850.896
1,1,338,good,3,1835,thowsand_oaks,1835
3,2,908,good,9,4620,thowsand_oaks,4620
1,1,518,poor,60,1385,alcatraz_ave,1274.2
0,1,279,good,11,1601,thowsand_oaks,1601
0,1,267,good,7,1580,thowsand_oaks,1580
2,1,587,good,14,3062,thowsand_oaks,3062
1,1,648,poor,62,1557,alcatraz_ave,1426.212
2,1,845,poor,37,3100,alcatraz_ave,2994.6
2,1,549,great,6,3575,berkeley_hills,3575
1,1,660,good,8,2092,thowsand_oaks,2092
2,1,585,good,10,3060,thowsand_oaks,3060
0,1,279,good,3,1681,thowsand_oaks,1681
0,1,538,poor,43,1490,alcatraz_ave,1421.46
2,1,932,poor,53,3006,alcatraz_ave,2807.604
2,1,814,great,5,3868,berkeley_hills,3868
2,1,709,poor,27,3018,alcatraz_ave,2975.748
2,1,896,good,5,3483,thowsand_oaks,3483
3,2,1140,good,10,4853,thowsand_oaks,4853
3,2,1065,poor,32,4633,alcatraz_ave,4521.808
2,1,735,poor,33,2980,alcatraz_ave,2902.52
2,1,613,poor,39,2847,alcatraz_ave,2738.814
1,1,666,poor,38,1775,alcatraz_ave,1711.1
1,1,300,good,5,1739,thowsand_oaks,1739
3,2,959,great,3,5286,berkeley_hills,5286
0,1,135,great,1,2026,berkeley_hills,2026
1,1,568,poor,32,1722,alcatraz_ave,1680.672
2,1,824,poor,47,2962,alcatraz_ave,2802.052
1,1,493,poor,24,1798,alcatraz_ave,1783.616
2,1,666,great,10,3671,berkeley_hills,3671
1,1,432,good,14,1782,thowsand_oaks,1782
2,1,768,great,7,3795,berkeley_hills,3795
0,1,223,poor,57,1068,alcatraz_ave,988.968
1,1,568,poor,15,1885,alcatraz_ave,1885
0,1,503,good,9,1839,thowsand_oaks,1839
3,2,872,poor,53,4211,alcatraz_ave,3933.074
1,1,407,great,3,2338,berkeley_hills,2338
0,1,150,great,3,2041,berkeley_hills,2041
1,1,701,good,10,2074,thowsand_oaks,2074
3,2,811,poor,47,4193,alcatraz_ave,3966.578
3,2,1086,poor,25,4639,alcatraz_ave,4592.61
3,2,1002,good,2,4824,thowsand_oaks,4824
1,1,618,poor,16,1954,alcatraz_ave,1954
2,1,884,great,9,3855,berkeley_hills,3855
3,2,1125,good,8,4895,thowsand_oaks,4895
1,1,320,good,1,1789,thowsand_oaks,1789
2,1,853,good,12,3336,thowsand_oaks,3336
1,1,399,great,12,2236,berkeley_hills,2236
3,2,980,great,8,5239,berkeley_hills,5239
0,1,400,poor,24,1527,alcatraz_ave,1514.784
2,1,836,great,5,3927,berkeley_hills,3927
3,2,1175,poor,57,4465,alcatraz_ave,4134.59
3,2,1094,good,6,4883,thowsand_oaks,4883
2,1,925,good,13,3355,thowsand_oaks,3355
2,1,736,poor,60,2708,alcatraz_ave,2491.36
2,1,729,good,9,3280,thowsand_oaks,3280
1,1,540,poor,60,1463,alcatraz_ave,1345.96
3,2,858,poor,31,4366,alcatraz_ave,4269.948
1,1,570,great,13,2421,berkeley_hills,2421
2,1,664,great,0,3749,berkeley_hills,3749
0,1,378,good,13,1653,thowsand_oaks,1653
1,1,670,good,3,2149,thowsand_oaks,2149
0,1,474,great,4,2382,berkeley_hills,2382
3,2,1157,great,10,5453,berkeley_hills,5453
1,1,417,great,11,2276,berkeley_hills,2276
0,1,197,good,7,1576,thowsand_oaks,1576
1,1,668,good,0,2191,thowsand_oaks,2191
0,1,123,good,1,1485,thowsand_oaks,1485
3,2,875,poor,58,4096,alcatraz_ave,3784.704
3,2,1131,good,6,4957,thowsand_oaks,4957
1,1,339,poor,22,1660,alcatraz_ave,1653.36
2,1,921,good,5,3473,thowsand_oaks,3473
3,2,894,poor,57,4200,alcatraz_ave,3889.2
1,1,594,poor,57,1487,alcatraz_ave,1376.962
2,1,935,great,14,3884,berkeley_hills,3884
0,1,523,poor,38,1561,alcatraz_ave,1504.804
0,1,535,poor,45,1451,alcatraz_ave,1378.45
1,1,585,poor,56,1509,alcatraz_ave,1400.352
1,1,385,poor,28,1639,alcatraz_ave,1612.776
2,1,578,poor,16,3065,alcatraz_ave,3065
1,1,678,good,14,2081,thowsand_oaks,2081
0,1,493,poor,24,1636,alcatraz_ave,1622.912
2,1,874,good,8,3359,thowsand_oaks,3359
1,1,328,great,0,2285,berkeley_hills,2285
0,1,549,poor,59,1397,alcatraz_ave,1288.034
1,1,519,good,1,2014,thowsand_oaks,2014
2,1,554,good,13,2996,thowsand_oaks,2996
0,1,283,great,10,2072,berkeley_hills,2072
1,1,557,good,14,1960,thowsand_oaks,1960
0,1,148,great,6,2028,berkeley_hills,2028
1,1,560,good,9,1992,thowsand_oaks,1992
3,2,824,poor,49,4217,alcatraz_ave,3972.414
0,1,177,good,7,1471,thowsand_oaks,1471
2,1,776,great,2,3881,berkeley_hills,3881
1,1,332,poor,15,1703,alcatraz_ave,1703
1,1,722,great,13,2633,berkeley_hills,2633
2,1,641,great,3,3751,berkeley_hills,3751
3,2,829,poor,16,4508,alcatraz_ave,4508
2,1,647,poor,19,3028,alcatraz_ave,3028
2,1,619,good,5,3208,thowsand_oaks,3208
0,1,188,good,7,1477,thowsand_oaks,1477
3,2,1146,good,14,4836,thowsand_oaks,4836
1,1,338,good,10,1783,thowsand_oaks,1783
3,2,1232,good,0,5124,thowsand_oaks,5124
3,2,1054,great,8,5335,berkeley_hills,5335
2,1,916,great,3,3974,berkeley_hills,3974
0,1,169,poor,24,1361,alcatraz_ave,1350.112
1,1,431,good,13,1775,thowsand_oaks,1775
3,2,840,great,9,5130,berkeley_hills,5130
3,2,926,good,0,4820,thowsand_oaks,4820
3,2,1245,great,8,5506,berkeley_hills,5506
2,1,694,poor,41,2874,alcatraz_ave,2753.292
3,2,881,great,0,5199,berkeley_hills,5199
3,2,1199,poor,62,4418,alcatraz_ave,4046.888
2,1,913,great,12,3901,berkeley_hills,3901
0,1,409,poor,60,1190,alcatraz_ave,1094.8
1,1,627,great,13,2505,berkeley_hills,2505
1,1,510,great,10,2438,berkeley_hills,2438
3,2,1218,poor,20,4906,alcatraz_ave,4906
2,1,778,poor,34,3057,alcatraz_ave,2971.404
3,2,891,good,12,4644,thowsand_oaks,4644
2,1,587,poor,27,2928,alcatraz_ave,2887.008
3,2,1020,good,4,4825,thowsand_oaks,4825
