unique_id,airline_name,overall_rating,review_title,review_date,verified,review,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_beverages,ground_service,inflight_entertainment,wifi_connectivity,value_for_money,recommended
11,Icelandair,2,"""an overall poor experience""",17th October 2022,True,"We booked a RT for two in business class departing on July 23, 2022. The night before our departure we were down graded to economy. Icelandair told us we would receive a refund. Almost 3 months have passed and despite several emails to the contrary we have yet to receive a refund for the service downgrade. Our return flight on September 3 involved a marathon hike through a congested airport, several long lines and a bus ride across the airport. We were seated in business for this leg of the trip, but he food was indifferent and the staff inattentive. It was an overall poor experience.",Boeing 757,Couple Leisure,Business Class,Washington Dulles to Reykjavik,Aug-22,2,2,2,1,2,1,2,no
12,Philippine Airlines,4,"""Flight attendants are very hospitable""",26th March 2023,True,"We were served 2 meals for my 9 hour flight and the serving is, I would say is complete. Flight attendants are very hospitable and willing to help. For the negatives, crowded leg space for Economy Class for their DXB-MNL flights. They are using the same crowded aircraft for many years and not one ounce of this have improved. I’m stuck with the same airline over and over again because it’s my employer who chooses the flight and not me. Not only the leg spaces are crowded, the in-flight entertainment is inconvenient. They have, but you have to download an app for it on your mobile and connect to the aircraft wifi. While that’s not a bad idea, this consumes battery and seats don’t have charging slots. It feels like they never considered improving their",A330-300,Solo Leisure,Economy Class,Manila to Dubai,Feb-23,1,4,4,2,1,1,3,no
13,S7 Siberia Airlines,8,"""service was wonderful""",1st March 2019,False,"Hong Kong to Novosibirsk. My very first trip to Russia, in the business class cabin. The aircraft was a new Boeing 737-MAX8. Service was wonderful. Flight attendant's English was basic but we understood each other very well,thanks to my elementary and enthusiastic Russian I had learnt before going to Russia ! Food was very good. No lie flat bed but plenty of space. Only 8 seats in business cabin so very intimate.",Boeing 737-MAX8,Solo Leisure,Business Class,Hong Kong to Novosibirsk,Jan-19,4,5,5,3,1,1,5,yes
14,S7 Siberia Airlines,8,"""professional and attentive""",1st March 2019,False,"Novosibirsk to Hong Kong. This was my return sector of my trip to Russia. Aircraft was a new B737-MAX8. Flight attendant dedicated to the business cabin. Only 8 seats in the business cabin. Great for making new friends! No lie flat bed, seats very comfortable and plenty of leg room. Flight attendant was professional and attentive. Food was very good.",Boeing 737-MAX8,Solo Leisure,Business Class,Novosibirsk to Hong Kong,Feb-19,4,5,4,3,1,1,5,yes
15,Philippine Airlines,3,"""The seats were not lay-flat""",1st March 2023,False,"In February 2023, my wife and I travelled round-trip from San Francisco to Manila. Philippine Airlines was the only non-stop option that we could find. The flights and arrival/departure times were within reason. Airline personnel and their service was always very good. We traveled on a B777-300, which was fine, but the business cabin was original. The entertainment system appeared to have CRT monitors built into the seats. They worked about as well as 20 year-old CRT screens - not well. Movie/TV/Music selections were poor. There was no lack of space. Not compartmentalized. The seats were not lay-flat. There was no stowage for blanket/pillow apart from your lap or the floor in front of you. One was viewing the monitor from a distance of about 4-5 feet. Generally, it was not comfortable, or what i",Boeing 777-300,Couple Leisure,Business Class,San Francisco to Manila,Feb-23,2,5,2,2,1,1,1,no
16,Air Europa,6,"""liked the quality of the seat""",18th April 2020,False,"São Paulo to Lisboa via Madrid. I liked the quality of the seat. Very good, very polite stewards. The food was not good on the way back but on the way it was good. Yes the very attentive ground staff (check-in). I recommend",Boeing 787-9,Family Leisure,Economy Class,São Paulo to Lisboa via Madrid,Feb-20,5,5,2,5,5,1,3,yes
17,S7 Siberia Airlines,9,"""cost efficient upgrade fee""",10th July 2019,True,"It was 2 sectors from Novosibirsk to Vladivostok and then transfer from Vladivostok to Seoul. Baggage was checked-in through to final destination, which is very comvinient. Online check-in via app with cost efficient upgrade fee> (from Vladivostok to Seoul only 53 USD). Food was good. Entertainment system including map, movies, music etc is broadcasting by Wi-Fi to your own device, which is better for my since I can use my own headphones and no advertisement.",A320,Business,Business Class,Novosibirsk to Vladivostok via Seoul,Oct-18,4,5,4,4,5,5,5,yes
18,Jetblue Airways,4,"""really frustrating""",4th April 2023,False,"While I generally have had a positive experience of JetBlue in past, I was shocked by JetBlue's late cancellation of its flight from Aguadilla to NYC. More than the cancellation, the agents at the airport told me that my hotel would be compensated for up to $250 given there were no more flights for the day. When I got home, the customer service agents said that this was not what they said, and that they likely meant, your hotel might be reimbursed up to that amount. It was really surprising and also given the hassle and additional expenses we had to incur to get a hotel and to another airport the next day, it was really frustrating.",A320,Family Leisure,Economy Class,New York City to Aguadilla,Apr-23,4,4,2,2,4,5,2,no
19,Air Europa,2,"""horrible experience""",14th August 2020,True,"Horrible organization. 0 control of people and 0 monitoring of biosecurity measures and protocols. The fleet is handing out alcohol-free cleaning wipes that aren't even antibacterial. The plane looks like a jungle, passengers are moving everywhere and are talking in the aisle, being that it was clearly said at the beginning of the flight that crowds are not allowed in the aisles. People wear the masks without covering their nose, the fleet never distributed any alcohol in gel for sanitizing hands nor masks every 4 hours as it widely known and must be 100% know to airlines. There is no knowledge or transparency as to cleanliness, the Boarding was horrible, all the people piled up and the fleet of the plane controlled nothing. There are like 15 Air Europa workers on board (perhaps more) and",Boeing 787-9,Solo Leisure,Economy Class,Madrid to Asuncion,Aug-20,1,1,1,1,1,3,1,no
20,Jetblue Airways,1,"""The worst customer service ever""",4th April 2023,True,"The worst customer service ever. First of all received terrible service at the check in having a service dog. Second the flight was delayed for almost an hour. Went to get coffee, took me 10 min came back and the boarding was over How is that possible? The board was still showing expected, hey moved me to another flight to Fort Lauderdale. I can’t believe that I got service like that today.",A321,Solo Leisure,Economy Class,Los Angeles to Miami,Apr-23,1,1,2,1,1,1,1,no
21,Icelandair,7,"""My first time on Icelandair was good""",27th November 2022,False,"My first time on Icelandair was good. Thanks to the check-in crew, all my baggage was free for check-in. The seating was okay, but the inflight entertainment was very modest, with little excitement or a variety of options. All I had was nothing but free drinks.",Boeing 737 MAX 8,Family Leisure,Economy Class,Washington to Reykjavik,Nov-22,4,4,1,5,1,1,5,no
22,Thomas Cook Airlines,6,"""aircraft used is unsuitable""",20th December 2018,True,"Manchester to Hurghada. The aircraft used for this 5hr+ flight is in my opinion unsuitable. The seats don't recline and are quiet hard, no entertainment system or charging ports and its not like the lack of amenities are hugely reflected in the ticket price but the flight crew were very friendly and professional so not all bad.",A321,Solo Leisure,Economy Class,Manchester to Hurghada,Dec-18,1,5,2,4,1,1,2,no
23,Virgin Australia,1,"""Virgin Australia has absolutely gone downhill very rapidly""",29th July 2022,True,"Regardless of delays, luggage or ticketing issues, Virgin Australia has absolutely gone downhill very rapidly. Airplanes are generally dirty, outdated and lacking any comfort. Virgin is now almost certainly a budget airline but without the budget prices and is more likely a competitor for Jetstar than Qantas when it comes to service. Regardless of what route I’ve taken with them over the last two years, it has been even worse each time. The only thing that could salvage this airline is if they dropped their prices to match the quality of their aircraft and customer service.",Boeing 737-800,Business,Economy Class,Canberra to Perth via Sydney,Jul-22,1,1,1,2,1,1,1,no
24,Southwest Airlines,8,N Huang,22nd April 2023,True,"LAX to San Jose and back to LAX the next day. Only when we started lining up to board did the ground crew start to activate the aircraft. We started boarding 10-15 minutes later and thanks to the quick work of the Southwest crew, we departed quickly and the flight was delayed by 7-10 minutes. Southwest offers Economy class seats and their seats are not too comfortable nor is it terrible. I wish that their seats would recline just a bit further back though, There is an open-seating policy, which means that you are not assigned a seat prior to boarding and you can choose where you would like to sit. Flight attendants on Southwest were kind, friendly, and funny. Food and beverages are not exciting as they only offer snacks and a couple beverages",Boeing 737-700,Family Leisure,Economy Class,San Jose to Los Angeles,Mar-23,3,5,3,5,4,3,4,yes
25,Philippine Airlines,5,"""don't care much about frequent flyers""",16th January 2023,True,"The focus of my review at this time is on their Mabuhay Miles frequent flyer program. I usually take a domestic flight which will connect to Manila or Cebu for an international flight, all via PAL. This saves me from trouble in case I would miss my connection. From experience, they would rebook me to the next flight for free, if there are problems with the connection. And that is okay. But accommodation and food aren't included, though that's fine by me. With so many flights, I became a frequent flyer and their program is useful in terms of extra baggage allowance and priority tag, priority boarding, and lounge access. But that's it, they don't care much about frequent flyers in other aspects, especially redemption. If you redeem a one-way international flight ticket, expect that",A321,Solo Leisure,Economy Class,Cebu to Bangkok via Manila,Jan-23,3,5,3,3,1,1,3,no
26,Virgin Australia,1,"""worst airline for Business Class""",24th July 2022,True,"Virgin Australia has got to be the worst airline for Business Class. There is no Business Class lounge available at night, no compensation for food and drink and/or meal voucher. The actual aircraft seat is terrible, just a little bit of leg room for 5 times the price of an economy ticket. The drinks consists of “sparkling or water”, no bar service at all. The food is mediocre, would have preferred a McDonalds burger and chips instead. The Business fare keeps going up, while the associated promised food and other perks are minimal or non-existent.",Boeing 737-800,Business,Business Class,Perth to Sydney,Jul-22,1,2,1,1,2,1,1,no
27,Icelandair,4,"""wouldn't select carrier again""",19th December 2022,False,"Fairly satisfactory. East bound but delayed going out from Zurich. Meal payment for first leg, was put on second leg. Arrived late into Iceland, chaotic airport with numerous delays. Seat configuration changed to a 757 with more seats and I was put onto a mid seat. Sub par food. Aircraft full and air stagnant. Seats narrow and hard. Entertainment very limited. Overall, wouldn't select carrier again.",Boeing 757,Solo Leisure,Economy Class,Zurich to Seattle via Keflavik,Dec-22,2,3,2,4,2,2,3,no
28,Philippine Airlines,1,"""seat was just uncomfortable""",15th January 2023,True,"Philippine Airlines have the sheer arrogance of placing a Business Class passenger into a broken seat that will never turn into anything comfortable to sleep on. Worst still, I thought the seat was just uncomfortable and that was the way it was supposed to be. After 2 hours of struggling to get comfortable, I gave up sliding down the seat and it was only then I noticed the issue. Earlier in the flight, I was having a chat with one of the stewardesses and she said something about broken seats. I thought I mis-heard her and dismissed it. After letting a steward know, he got a box for the seat to prop up on. Far too late by then. Damage was done, the other passengers' children had had their sleep and there was no letting",Boeing 777,Business,Business Class,Sydney to Manila,Dec-22,1,3,3,3,2,1,1,no
29,Southwest Airlines,10,"""so patient and so kind to my kids""",21st April 2023,True,This was my 2 kids first flight. They enjoyed flying into Detroit. The highlight of their experience came on the flight back the next day. Our pilot was a 25 year old female. Beautiful take off and Beautiful landing. She even took their experience further. She let them take pictures with her. Wherever you are young lady please keep doing what you are doing. You bring inspiration to other young ladies. You were so patient and so kind to my kids. I just wanted to thank you for your hospitality and grace. You are one of a kind. If we ever cross paths with you again it would be a blessing.,Boeing 737 Max,Family Leisure,Economy Class,Detroit to Nashville,Apr-23,3,5,5,2,5,5,5,yes
30,Ryanair,1,"""kindness and smile should still be free""",17th November 2022,True,"Even though I am an American, I was offended how rude they were with Serbian people. I fly 50 + flights a year and I have never seen such rudeness.  I found the culture of flight attendants to be rude and pathetic. I know it is a low cost airline, but kindness and smile should still be free.",Boeing 737,Family Leisure,Economy Class,Nis to Stockholm,Jul-22,1,1,1,1,1,1,2,no
31,Philippine Airlines,1,"""The most horrendous service""",1st June 2023,True,"The most horrendous service you could possible imagine! What were supposed to be simple Sydney to Tokyo return flights (via manila) ended up in a horrible mess of late minute changes, then more changes, and insistence that I pay for the many costs involved, including the most ridiculous one of all; I pay for accommodation for three nights due to an enforced three day stop over in manila. None of this was of my doing - all decided by Philippine Airlines, and not one sensible reason ever given for any of the changes. Their 'help lines' and 'support' are non existent - number either do not work or are answered by ostensibly caring people with no authority or desire to actually do anything to help. Disgraceful - I'm surprised they are still in business.",various,Couple Leisure,Economy Class,Tokyo to Sydney  via Manila,May-23,2,2,2,1,1,1,1,no
32,Virgin Australia,1,"""they should be providing service and support""",13th July 2022,False,"Firstly, the booking system is rubbish, such that passengers are not able to manage their booking ourselves and must call through to the customer service. Though they do pick up the call pretty quick, it is pointless as all they can and will tell you is that they can't do anything for you (when they actually can). My husband booked a ticket for me to fly out on a Thursday to see my father in law who has just been hospitalised. However, something cropped up at home and I could not leave till the next day. I called to ask for a change of flight. First time I called, I was told all flights on Friday are sold and so they could not change it for me. I was naïve and believed in it. I",Boeing 747,Solo Leisure,Economy Class,Melbourne to Gold Coast,Jul-22,1,1,1,1,1,1,1,no
33,Air France,2,"""service and aircraft are not up to the standards""",6th June 2023,True,Would definitely never fly again with Air France or Delta. 1) I got my ticket from Delta and upgraded later to Premium Economy. The email I got from Delta says that my second checked luggage is free from JFK to IST (see attached photo). Air France ground crew at JFK said that it is free only for JFK to CDG and that I had to pay for CDG to IST although my bags were going directly to IST after checking in. Delta should have informed better as their email was grossly misleading. 2) My Premium Economy seat footrest was broken. It was basically not there so probably people who sat at this seat put their feet on the back pocket of the seat in-front of me so that was also broken (see attached photo). For,Boeing 777-300ER,Solo Leisure,Premium Economy,New York JFK to Istanbul via Paris CDG,Jun-23,1,2,1,1,2,2,1,no
34,Southwest Airlines,7,"""boarding has become a joke""",11th May 2023,True,"I normally really enjoy flying Southwest, but over the last year or so I have acquired a bad taste for them. I flew 11 May 2023 from BWI to Tulsa through St. Louis and I paid for Business Select so I could be in the first boarding group. When I checked in I was A01, which would mean I could get to my choice seat early and get my bag in an overhead bin. Yet there were 20 pre boarders on the first leg and 18 on the second leg - many who walked into the plane (only 5 wheel chairs total) The boarding process has become a joke as pre boarders, sit in the front 3-5 rows. So I think I'm going to request that every time I fly now because I pay $100",Boeing 737,Solo Leisure,Business Class,Baltimore to Tulsa via St. Louis,May-23,3,5,5,5,5,3,3,yes
35,Air France,7,"""I would fly Air France again""",4th December 2022,False,"The plane was nice. IFE was pretty good. The main meal was decent but the second meal was a small snack delivered in a small bag. The staff in the plane from Chicago to Paris was not very friendly. The staff in the way back from Paris to Chicago was very kind and helpful. Big difference. Lastly, my checked bag didn't make it to Chicago. The staff at Chicago didn't really want to help me. One spent a few moments trying to register a claim, gave up, handed me a card with instructions and walked away. I tried someone else about 15 minutes later, while she was not happy to help, she did complete the claim for me which I appreciated. The bag was delivered to my door, 200 miles from the airport, the next",A350,Solo Leisure,Economy Class,Chicago to Paris,Nov-22,4,4,3,3,4,3,4,yes
36,Southwest Airlines,1,"""Totally disappointed in SWA""",5th June 2023,False,"Totally disappointed in SWA, they left us on the tarmac 35 min after we were supposed to depart Reno. I checked 2 bags in Reno, only 1 made it to Tulsa. This is Sunday, then they tell me “it might be in at 12.30 am.” Now the airline industry is supposed to be the most reliable industry in America. In fact, they train others on reliability. To make matters worse, if it comes in tonight at 12.30 am, they will get it to me “Tuesday” but who knows when. Step it up SWA, American has you beat, they put it on a delivery truck at 6am the next morning. Huge inconvenience as I am a travel Nurse, but my bag isn’t important right, not to SWA.",Boeing 700-737,Business,Economy Class,Denver to Tulsa,Jun-23,1,1,1,1,1,1,1,no
37,SA Express,4,"""I don’t see why they are still flying""",12th April 2018,True,"It was a Sunday afternoon when I got to King Shaka airport and I was flying to Port Elizabeth that evening. The flight was supposed to depart at 17.40 and land at 19.00. But instead the flight got delayed until 21.00. I’ve been flying this Durban, PE route on this airline since 2015 and most of the flights I’ve flown have always delayed by an extreme amount of hours. They give me the same excuse everytime I ask them why is there a big delay and they say technical issues with the plane. This flight that I took, they changed the time to 21.00 which meant that we were going to board at 20.30. It was 21.00 and I was still in the terminal building, we only left Durban at 21.50 and we got to",CRJ700,Solo Leisure,Economy Class,Durban to Port Elizabeth,Mar-18,3,3,2,2,1,1,2,yes
38,Southwest Airlines,1,"""A-list priority is a joke""",5th June 2023,False,"Not on time. Delayed due to overlapping flights and passengers trying to make it from far gates. Genuinely just sick of Southwest in overall preference. Their reward program is not worth a grain of salt. A-list priority is a joke, you share the same seating as those that have no interest or desire due to few times flying or something similar. Luggage cabin space is all you receive if you can't complete the requirements of spending goals or flying frequently. There is no such thing as ""first class"" treatment, even the companion pass is whatever.",Boeing 737,Business,Premium Economy,Cleveland OH to Baltimore MD via Albany NY,Jun-23,1,3,2,1,1,1,1,no
39,Flair Airlines,1,"""quite disappointed in the plane""",22nd June 2023,True,"I was unable to check in on-line and had to spend over 2 hours on a chat with a flair rep to try to resolve the problem, which was never resolved. The flight was supposed to take off at 235 pm, however before i left for the airport I checked the flair website which said the flight was on time, and i checked flightaware which showed that the flight was not leaving until 437 in the afternoon. My wife and i arrived at the airport and checked in with a very nice friendly and courteous young lady. During the check-in process i was asked to out each of my suitcases on the scale and then take them back because the luggage had to be brought by us to a special luggage drop area at the",boeing 737,Couple Leisure,Economy Class,yyz to fll,Jun-23,1,1,3,1,1,1,3,no
40,Flair Airlines,1,"""cheap but poor service""",27th June 2023,True,"For the first time I’ve used the Flair to travel to Vancouver from Calgary, and from Vancouver to Calgary, and from Calgary to Kitchener and Kitchener to Calgary. I never had this experience before in my life the worst experience ever I got. We were travelling for 4 hours they didn’t even offer us a glass of water all you need to buy and expensive too. The customer service was very worse and the flight attendant had no manner. At the Kitchener airport I was very disappointed of the customer service’s behaviour. All I want to say is to travel with Flair is not a good idea. It’s cheap but poor service. Not happy at all.",Boeing 737,Family Leisure,Economy Class,Kitchener to Calgary,Jun-23,1,1,1,1,1,1,1,no
41,Air France,10,"""a wonderful flight""",22nd January 2023,True,The plane was spotless and very well maintained. The service was very elegant and welcoming. Food was almost as good as in a good restaurant. I felt very welcomed on board. I will fly AF in C again for sure. It was a wonderful flight.,A350-900,Couple Leisure,Business Class,Paris to Santiago de Cile,Oct-22,5,5,5,5,5,5,5,yes
42,S7 Siberia Airlines,5,"""leg room and recline was adequate""",12th July 2016,False,Check in was efficient and fast. The Business Cabin was full. There were drinks at the pre takeoff stage. Flight was a little late boarding and taking off. The flight was comfortable and the food service adequate. There was no IFE on a six hour flight. Leg room and recline was adequate and given the length of the flight could have been better. Level of service was only adequate and airline on this experience barely justifies its three star rating. S7 Siberia Airlines recommended only for the value for a direct flight from Bangkok to Irkutsk.,A320,Solo Leisure,Business Class,BKK to IKT,Jun-16,3,3,3,2,1,1,4,yes
43,Air France,8,"""expect some smiles and basic courtesy""",2nd February 2023,True,"Flight was two hours late leaving Lome. At check-in, I encountered the most grim looking row of agents I'd ever seen. I understand they had to stay at work longer due to the delayed flight, but that isn't my fault and I expect some smiles and basic courtesy when checking in, particularly on a costly business class ticket. After completing check-in, I noticed that my bag tag was completely illegible because the printer was running out of ink. I returned to the check-in counter where I approached an agent who appeared to be lead agent on duty that night. I asked him in French if my bag tag can please be reprinted as it was unreadable. He started yelling at me (in French), ""Who did you see when you checked in...go to that person"". I",A330-200 / Boeing 777-300ER,Business,Business Class,Lome to Washington via Paris,Feb-23,3,4,2,1,4,4,4,yes
44,Air France,10,"""a very decent product""",13th February 2023,True,"I booked premium economy because I have knee problems. The seats are just OK (shell type that slides down but not built for a person over 6 feet), and the food is the same as economy, although it was the best fish I ever had on a plane. Overall, a very decent product, and the flight was on time. They lost my luggage, so I did not have winter clothing as it was summer in South Africa. I bought what I needed for €240 and Air France reimbursed me within 10 days. Overall, very satisfied and impressed by the no fuzz reimbursement.",777,Solo Leisure,Premium Economy,Johannesburg to Paris,Jan-23,3,5,5,4,5,5,4,yes
45,Air France,8,"""makes up for it in convenience""",16th February 2023,True,"Short 1 hour flight that's perfect for people not looking for extreme budget options. Despite the relatively dated cabin interior (the plane took its first flight in 1999 according to a quick registration lookup), Air France more than makes up for it in convenience of a complimentary drink service (more than just water, but with hot and cold beverages), as well as some cookies as a snack. In addition compared to more budget options such as easyjet, AF's usage of jet bridges and the main CDG airport in Paris makes the journey overall much more convenient, as long as you don't mind spending a little more than budget offerings.",A319,Solo Leisure,Economy Class,Paris to Bordeaux,Feb-23,4,4,3,4,2,2,3,yes
46,Philippine Airlines,2,"""overall service was lacking""",16th June 2023,True,"The new A350 and A330 cabins were nice, PAL also offers decent food but overall service was lacking from ground experience to cabin crew and transfer. I will not recommend anyone to fly with PAL until they get their operations and training right. Our transit experience at MNL to MEL was utterly unpleasant. PAL's ground staff failed to communicate what is required of transit passengers in advance and made us go around in circles, doing unnecessary processes and had a horrible surprise at the boarding gate when we were told that we need to go to another location to have our check-in bags opened up for inspection just before our flight. It is also unacceptable that some crew on PR508 flying from SIN to MNL on 8 June was sleeping on the Premium Economy seats,",A330,Couple Leisure,Business Class,Singapore to Melbourne via Singapore,Jun-23,2,2,2,1,2,1,2,no
47,Air France,10,"""cabin crew were absolutely excellent""",21st February 2023,True,"Boarding was done efficiently with Sky Priority/Business passengers allowed on first. It was a nearly-new A350 and looked immaculate. We were greeted by enthusiastic cabin crew and shown to our seats. I have always taken the view that there is always at least one thing wrong with any business seat but not on this occasion. It was extremely well designed with an excellent screen, solid table, privacy, ample storage spaces and the ability to locate switches and power points without searching too hard. We were offered a glass of champagne, juice or water before takeoff and given a very impressively comprehensive menu. I had pre-ordered the fish and it was incredibly tasty and excellently served by the cabin crew. I chose the delicious Chablis which seems to work well at altitude. It is an overnight",A350,Business,Business Class,Atlanta to Paris CDG,Feb-23,5,5,5,5,5,5,5,yes
48,Norse Atlantic Airways,2,"""Absolute rip off airline""",19th July 2023,True,"Do not be fooled by low fares unless your flying with a backpack only and dont need to drink or eat in 11 hours! Flights initial cost was nearly half what it ultimately cost! Absolute rip off airline, not Norwegian Airlines in any shape or form! I am going to suggest far worse than that well known UK based cheap airline that flies all over Europe. 500 pounds to just under £1000 and a further £200 charges at airport for slightly (4.6 kg on one and 5 kg cabin bag) overweight luggage! I flew over with Virgin in June and paid £740 including 3 meals and 3 cases and a nice spacious economy seat. The meal that cost £30 was abysmal, wasn't filling and for that money too! A small bit of fish and two",Boeing 787,Solo Leisure,Economy Class,London Gatwick to Los Angeles,Jul-23,1,2,1,1,1,1,1,no
49,Icelandair,10,"""Great service onboard""",21st August 2022,False,Great service onboard Icelandair. Very kind flight attendants. Keflavik Airport ground handling made no priority stickers to luggage which resulted in long waiting at Munich.,Boeing 737max8,Business,Business Class,Keflavik to Munich,Aug-22,5,5,5,1,3,5,5,yes
