unique_id,airline_name,overall_rating,review_title,review_date,verified,review,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_beverages,ground_service,inflight_entertainment,wifi_connectivity,value_for_money,recommended
33,Air France,2,"""service and aircraft are not up to the standards""",6th June 2023,True,Would definitely never fly again with Air France or Delta. 1) I got my ticket from Delta and upgraded later to Premium Economy. The email I got from Delta says that my second checked luggage is free from JFK to IST (see attached photo). Air France ground crew at JFK said that it is free only for JFK to CDG and that I had to pay for CDG to IST although my bags were going directly to IST after checking in. Delta should have informed better as their email was grossly misleading. 2) My Premium Economy seat footrest was broken. It was basically not there so probably people who sat at this seat put their feet on the back pocket of the seat in-front of me so that was also broken (see attached photo). For,Boeing 777-300ER,Solo Leisure,Premium Economy,New York JFK to Istanbul via Paris CDG,23-Jun,1,2,1,1,2,2,1,no
34,Southwest Airlines,7,"""boarding has become a joke""",11th May 2023,True,"I normally really enjoy flying Southwest, but over the last year or so I have acquired a bad taste for them. I flew 11 May 2023 from BWI to Tulsa through St. Louis and I paid for Business Select so I could be in the first boarding group. When I checked in I was A01, which would mean I could get to my choice seat early and get my bag in an overhead bin. Yet there were 20 pre boarders on the first leg and 18 on the second leg - many who walked into the plane (only 5 wheel chairs total) The boarding process has become a joke as pre boarders, sit in the front 3-5 rows. So I think I'm going to request that every time I fly now because I pay $100",Boeing 737,Solo Leisure,Business Class,Baltimore to Tulsa via St. Louis,23-May,3,5,5,5,5,3,3,yes
35,Air France,7,"""I would fly Air France again""",4th December 2022,False,"The plane was nice. IFE was pretty good. The main meal was decent but the second meal was a small snack delivered in a small bag. The staff in the plane from Chicago to Paris was not very friendly. The staff in the way back from Paris to Chicago was very kind and helpful. Big difference. Lastly, my checked bag didn't make it to Chicago. The staff at Chicago didn't really want to help me. One spent a few moments trying to register a claim, gave up, handed me a card with instructions and walked away. I tried someone else about 15 minutes later, while she was not happy to help, she did complete the claim for me which I appreciated. The bag was delivered to my door, 200 miles from the airport, the next",A350,Solo Leisure,Economy Class,Chicago to Paris,22-Nov,4,4,3,3,4,3,4,yes
36,Southwest Airlines,1,"""Totally disappointed in SWA""",5th June 2023,False,"Totally disappointed in SWA, they left us on the tarmac 35 min after we were supposed to depart Reno. I checked 2 bags in Reno, only 1 made it to Tulsa. This is Sunday, then they tell me “it might be in at 12.30 am.” Now the airline industry is supposed to be the most reliable industry in America. In fact, they train others on reliability. To make matters worse, if it comes in tonight at 12.30 am, they will get it to me “Tuesday” but who knows when. Step it up SWA, American has you beat, they put it on a delivery truck at 6am the next morning. Huge inconvenience as I am a travel Nurse, but my bag isn’t important right, not to SWA.",Boeing 700-737,Business,Economy Class,Denver to Tulsa,23-Jun,1,1,1,1,1,1,1,no
37,SA Express,4,"""I don’t see why they are still flying""",12th April 2018,True,"It was a Sunday afternoon when I got to King Shaka airport and I was flying to Port Elizabeth that evening. The flight was supposed to depart at 17.40 and land at 19.00. But instead the flight got delayed until 21.00. I’ve been flying this Durban, PE route on this airline since 2015 and most of the flights I’ve flown have always delayed by an extreme amount of hours. They give me the same excuse everytime I ask them why is there a big delay and they say technical issues with the plane. This flight that I took, they changed the time to 21.00 which meant that we were going to board at 20.30. It was 21.00 and I was still in the terminal building, we only left Durban at 21.50 and we got to",CRJ700,Solo Leisure,Economy Class,Durban to Port Elizabeth,18-Mar,3,3,2,2,1,1,2,yes
38,Southwest Airlines,1,"""A-list priority is a joke""",5th June 2023,False,"Not on time. Delayed due to overlapping flights and passengers trying to make it from far gates. Genuinely just sick of Southwest in overall preference. Their reward program is not worth a grain of salt. A-list priority is a joke, you share the same seating as those that have no interest or desire due to few times flying or something similar. Luggage cabin space is all you receive if you can't complete the requirements of spending goals or flying frequently. There is no such thing as ""first class"" treatment, even the companion pass is whatever.",Boeing 737,Business,Premium Economy,Cleveland OH to Baltimore MD via Albany NY,23-Jun,1,3,2,1,1,1,1,no
39,Flair Airlines,1,"""quite disappointed in the plane""",22nd June 2023,True,"I was unable to check in on-line and had to spend over 2 hours on a chat with a flair rep to try to resolve the problem, which was never resolved. The flight was supposed to take off at 235 pm, however before i left for the airport I checked the flair website which said the flight was on time, and i checked flightaware which showed that the flight was not leaving until 437 in the afternoon. My wife and i arrived at the airport and checked in with a very nice friendly and courteous young lady. During the check-in process i was asked to out each of my suitcases on the scale and then take them back because the luggage had to be brought by us to a special luggage drop area at the",boeing 737,Couple Leisure,Economy Class,yyz to fll,23-Jun,1,1,3,1,1,1,3,no
40,Flair Airlines,1,"""cheap but poor service""",27th June 2023,True,"For the first time I’ve used the Flair to travel to Vancouver from Calgary, and from Vancouver to Calgary, and from Calgary to Kitchener and Kitchener to Calgary. I never had this experience before in my life the worst experience ever I got. We were travelling for 4 hours they didn’t even offer us a glass of water all you need to buy and expensive too. The customer service was very worse and the flight attendant had no manner. At the Kitchener airport I was very disappointed of the customer service’s behaviour. All I want to say is to travel with Flair is not a good idea. It’s cheap but poor service. Not happy at all.",Boeing 737,Family Leisure,Economy Class,Kitchener to Calgary,23-Jun,1,1,1,1,1,1,1,no
41,Air France,10,"""a wonderful flight""",22nd January 2023,True,The plane was spotless and very well maintained. The service was very elegant and welcoming. Food was almost as good as in a good restaurant. I felt very welcomed on board. I will fly AF in C again for sure. It was a wonderful flight.,A350-900,Couple Leisure,Business Class,Paris to Santiago de Cile,22-Oct,5,5,5,5,5,5,5,yes
42,S7 Siberia Airlines,5,"""leg room and recline was adequate""",12th July 2016,False,Check in was efficient and fast. The Business Cabin was full. There were drinks at the pre takeoff stage. Flight was a little late boarding and taking off. The flight was comfortable and the food service adequate. There was no IFE on a six hour flight. Leg room and recline was adequate and given the length of the flight could have been better. Level of service was only adequate and airline on this experience barely justifies its three star rating. S7 Siberia Airlines recommended only for the value for a direct flight from Bangkok to Irkutsk.,A320,Solo Leisure,Business Class,BKK to IKT,16-Jun,3,3,3,2,1,1,4,yes
43,Air France,8,"""expect some smiles and basic courtesy""",2nd February 2023,True,"Flight was two hours late leaving Lome. At check-in, I encountered the most grim looking row of agents I'd ever seen. I understand they had to stay at work longer due to the delayed flight, but that isn't my fault and I expect some smiles and basic courtesy when checking in, particularly on a costly business class ticket. After completing check-in, I noticed that my bag tag was completely illegible because the printer was running out of ink. I returned to the check-in counter where I approached an agent who appeared to be lead agent on duty that night. I asked him in French if my bag tag can please be reprinted as it was unreadable. He started yelling at me (in French), ""Who did you see when you checked in...go to that person"". I",A330-200 / Boeing 777-300ER,Business,Business Class,Lome to Washington via Paris,23-Feb,3,4,2,1,4,4,4,yes
44,Air France,10,"""a very decent product""",13th February 2023,True,"I booked premium economy because I have knee problems. The seats are just OK (shell type that slides down but not built for a person over 6 feet), and the food is the same as economy, although it was the best fish I ever had on a plane. Overall, a very decent product, and the flight was on time. They lost my luggage, so I did not have winter clothing as it was summer in South Africa. I bought what I needed for €240 and Air France reimbursed me within 10 days. Overall, very satisfied and impressed by the no fuzz reimbursement.",777,Solo Leisure,Premium Economy,Johannesburg to Paris,23-Jan,3,5,5,4,5,5,4,yes
45,Air France,8,"""makes up for it in convenience""",16th February 2023,True,"Short 1 hour flight that's perfect for people not looking for extreme budget options. Despite the relatively dated cabin interior (the plane took its first flight in 1999 according to a quick registration lookup), Air France more than makes up for it in convenience of a complimentary drink service (more than just water, but with hot and cold beverages), as well as some cookies as a snack. In addition compared to more budget options such as easyjet, AF's usage of jet bridges and the main CDG airport in Paris makes the journey overall much more convenient, as long as you don't mind spending a little more than budget offerings.",A319,Solo Leisure,Economy Class,Paris to Bordeaux,23-Feb,4,4,3,4,2,2,3,yes
46,Philippine Airlines,2,"""overall service was lacking""",16th June 2023,True,"The new A350 and A330 cabins were nice, PAL also offers decent food but overall service was lacking from ground experience to cabin crew and transfer. I will not recommend anyone to fly with PAL until they get their operations and training right. Our transit experience at MNL to MEL was utterly unpleasant. PAL's ground staff failed to communicate what is required of transit passengers in advance and made us go around in circles, doing unnecessary processes and had a horrible surprise at the boarding gate when we were told that we need to go to another location to have our check-in bags opened up for inspection just before our flight. It is also unacceptable that some crew on PR508 flying from SIN to MNL on 8 June was sleeping on the Premium Economy seats,",A330,Couple Leisure,Business Class,Singapore to Melbourne via Singapore,23-Jun,2,2,2,1,2,1,2,no
47,Air France,10,"""cabin crew were absolutely excellent""",21st February 2023,True,"Boarding was done efficiently with Sky Priority/Business passengers allowed on first. It was a nearly-new A350 and looked immaculate. We were greeted by enthusiastic cabin crew and shown to our seats. I have always taken the view that there is always at least one thing wrong with any business seat but not on this occasion. It was extremely well designed with an excellent screen, solid table, privacy, ample storage spaces and the ability to locate switches and power points without searching too hard. We were offered a glass of champagne, juice or water before takeoff and given a very impressively comprehensive menu. I had pre-ordered the fish and it was incredibly tasty and excellently served by the cabin crew. I chose the delicious Chablis which seems to work well at altitude. It is an overnight",A350,Business,Business Class,Atlanta to Paris CDG,23-Feb,5,5,5,5,5,5,5,yes
48,Norse Atlantic Airways,2,"""Absolute rip off airline""",19th July 2023,True,"Do not be fooled by low fares unless your flying with a backpack only and dont need to drink or eat in 11 hours! Flights initial cost was nearly half what it ultimately cost! Absolute rip off airline, not Norwegian Airlines in any shape or form! I am going to suggest far worse than that well known UK based cheap airline that flies all over Europe. 500 pounds to just under £1000 and a further £200 charges at airport for slightly (4.6 kg on one and 5 kg cabin bag) overweight luggage! I flew over with Virgin in June and paid £740 including 3 meals and 3 cases and a nice spacious economy seat. The meal that cost £30 was abysmal, wasn't filling and for that money too! A small bit of fish and two",Boeing 787,Solo Leisure,Economy Class,London Gatwick to Los Angeles,23-Jul,1,2,1,1,1,1,1,no
49,Icelandair,10,"""Great service onboard""",21st August 2022,False,Great service onboard Icelandair. Very kind flight attendants. Keflavik Airport ground handling made no priority stickers to luggage which resulted in long waiting at Munich.,Boeing 737max8,Business,Business Class,Keflavik to Munich,22-Aug,5,5,5,1,3,5,5,yes
