ticket_id,created_date,category,priority,status,customer_name,subject,description,resolution,resolution_date,agent_name
TKT-014,2024-09-27,Billing,High,Resolved,MarketingAgency Co,Payment method declined - service suspended,"Customer's credit card was declined for monthly payment. Account automatically suspended per policy. Customer states card is valid and has sufficient funds. Needs immediate restoration.","Attempted charge again - successful. Issue was temporary bank fraud alert. Restored account access immediately. Waived late fee as courtesy. Customer confirmed service working.",2024-09-27,Michael Torres
TKT-015,2024-09-28,Technical,Low,Resolved,DesignStudio,Custom domain SSL certificate renewal,"Customer's custom domain SSL certificate expiring in 7 days. Asking about renewal process and if there will be any downtime. Domain: app.designstudio.com","Explained auto-renewal process via Let's Encrypt. Confirmed zero downtime during renewal. Manually triggered renewal to verify - completed successfully. Certificate valid until Dec 2024.",2024-09-28,James Wilson
TKT-016,2024-09-29,Feature Request,Medium,Open,AnalyticsCorp,Dark mode for dashboard interface,"Multiple users requesting dark mode option for the analytics dashboard. Current bright interface causing eye strain during extended use. Would improve user experience significantly.","",null,null
TKT-017,2024-09-30,Technical,Critical,Resolved,BankingSecure,Security alert - suspicious API activity,"Security team detected unusual API activity from customer account. 50,000+ requests in 10 minutes from unknown IP addresses. Temporarily locked account pending investigation.","Customer confirmed legitimate load testing from new data center IPs. Whitelisted IP range and restored access. Recommended advance notification for future load tests. Updated security protocols.",2024-09-30,Emily Rodriguez
TKT-018,2024-10-01,Account,Medium,Resolved,ConsultingGroup,Transfer account ownership to new admin,"Company CEO retiring. Need to transfer account ownership from john@consultinggroup.com to sarah@consultinggroup.com. Ensure all billing and admin access transfers properly.","Verified authorization via company email and phone. Transferred ownership, updated billing contact, and admin permissions. Both parties confirmed successful transfer.",2024-10-01,Michael Torres
TKT-019,2024-10-02,Technical,High,In Progress,EcommercePlus,Search functionality returning irrelevant results,"Product search returning poor results for the past week. Customers searching for 'blue shirts' getting results for 'shoes' and unrelated items. Affecting conversion rates significantly.","Investigating search index corruption. Rebuilding search index from scratch. ETA 24 hours for completion. Provided temporary workaround using category filters.",null,Sarah Chen
TKT-020,2024-10-03,Billing,Medium,Resolved,SaaSStartup,Proration calculation question,"Customer upgraded from Starter to Business mid-cycle (Oct 15). Charged $249 but expected proration. Invoice shows full month charge. Requesting explanation of proration logic.","Explained proration: credited $24.50 for unused Starter days (16 days), charged $299 for Business. Net charge $274.50 not $249 - customer misread invoice. Sent detailed breakdown. Resolved.",2024-10-03,Michael Torres
TKT-021,2024-10-04,Technical,Medium,Resolved,ContentCreators,Video upload failing for files over 500MB,"Users unable to upload videos larger than 500MB. Upload progress reaches 100% then shows error 'Upload failed'. Smaller files work fine. Blocking content publication schedule.","Identified nginx timeout configuration issue. Increased upload timeout and max file size limits. Tested with 2GB file - successful. Customer confirmed large uploads now working.",2024-10-05,James Wilson
TKT-022,2024-10-05,Feature Request,Low,Open,ProjectManage,Gantt chart view for project timelines,"Customer requesting Gantt chart visualization for project timelines. Current list and board views don't provide good overview of project schedules and dependencies.","",null,null
TKT-023,2024-10-06,Technical,High,Resolved,TravelBooking,Email notifications not being sent,"Booking confirmation emails not being sent to customers for past 4 hours. Tested multiple bookings - no emails received. Critical as customers need confirmation codes for check-in.","Email service provider (SendGrid) API was down. Switched to backup provider (AWS SES). Queued emails sent successfully. Monitoring for 24 hours to ensure stability.",2024-10-06,Emily Rodriguez
TKT-024,2024-10-07,Account,Low,Resolved,NonProfitOrg,Request for nonprofit discount,"Registered 501(c)(3) nonprofit organization requesting discount on Business plan. Provided tax-exempt documentation. Currently on trial period ending Oct 15.","Verified nonprofit status. Applied 30% nonprofit discount. Business plan reduced from $299 to $209/month. Customer accepted and converted from trial to paid.",2024-10-07,Michael Torres
TKT-025,2024-10-08,Technical,Critical,Resolved,FinancialServices,Data breach concern - unauthorized access,"Customer reports suspicious login from IP address in different country. No authorized travel. Concerned about potential data breach. Requesting immediate security audit.","Immediately reset all passwords and revoked all sessions. Enabled 2FA requirement. Reviewed audit logs - no data access occurred, only failed login attempts. Likely credential stuffing attack. Secured account.",2024-10-08,Emily Rodriguez
